publications,authors
1000004,4000250
1000004,4000251
1000004,4000252
1000004,4000253
1000004,4000254
1000005,4000028
1000005,4000029
1000005,4000030
1000005,4000031
1000005,4000032
1000005,4000033
1000005,4000034
1000005,4000035
1000005,4000036
1000005,4000037
1000005,4000038
1000005,4000039
1000005,4000040
1000005,4000041
1000005,4000042
1000005,4000043
1000005,4000044
1000005,4000045
1000005,4000046
1000005,4000047
1000005,4000048
1000005,4000049
1000005,4000050
1000005,4000051
1000005,4000052
1000005,4000053
1000005,4000054
1000005,4000055
1000005,4000056
1000005,4000057
1000005,4000058
1000005,4000059
1000005,4000060
1000005,4000061
1000005,4000062
1000005,4000063
1000005,4000064
1000005,4000065
1000005,4000066
1000005,4000067
1000005,4000068
1000005,4000069
1000005,4000070
1000005,4000071
1000005,4000072
1000005,4000073
1000005,4000074
1000005,4000075
1000005,4000076
1000005,4000077
1000005,4000078
1000005,4000079
1000005,4000080
1000005,4000081
1000005,4000082
1000005,4000083
1000005,4000084
1000005,4000085
1000005,4000086
1000005,4000087
1000005,4000088
1000005,4000089
1000005,4000090
1000005,4000091
1000005,4000092
1000005,4000093
1000005,4000094
1000005,4000095
1000005,4000096
1000005,4000097
1000005,4000098
1000005,4000099
1000005,4000100
1000005,4000101
1000005,4000102
1000005,4000103
1000005,4000104
1000005,4000105
1000005,4000106
1000005,4000107
1000006,4000255
1000006,4000256
1000006,4000257
1000006,4000258
1000084,4000032
1000084,4000033
1000084,4000035
1000084,4000047
1000084,4000052
1000084,4000059
1000084,4000062
1000084,4000063
1000084,4000068
1000084,4000069
1000084,4000071
1000084,4000074
1000084,4000076
1000084,4000078
1000084,4000083
1000084,4000084
1000084,4000086
1000084,4000087
1000084,4000094
1000084,4000095
1000084,4000096
1000084,4000102
1000084,4000103
1000084,4000104
1000084,4000105
1000084,4000106
1000084,4000107
1000084,4000221
1000084,4000222
1000084,4000223
1000084,4000224
1000084,4000225
1000084,4000226
1000084,4000227
1000084,4000228
1000084,4000229
1000097,4000028
1000097,4000030
1000097,4000031
1000097,4000033
1000097,4000076
1000097,4000105
1000097,4000106
1000097,4000108
1000097,4000109
1000097,4000110
1000097,4000111
1000097,4000112
