datasets,bioentities
1000002,1000028
1000002,1000082
1000002,1000091
1000002,1000092
1000002,1000093
1000002,1000110
1000002,1000126
1000002,1000139
1000002,1000140
1000002,1000150
1000002,1000151
1000002,1000164
1000002,1000184
1000002,1000206
1000002,1000216
1000002,1000230
1000002,1000231
1000002,1000240
1000002,1000241
1000002,1000249
1000002,1000250
1000002,1000265
1000002,1000267
1000002,1000277
1000002,1000278
1000002,1000288
1000002,1000289
1000002,1000298
1000002,1000300
1000002,1000314
1000002,1000369
1000002,1000381
1000002,1000383
1000002,1000384
1000002,1000399
1000002,1000421
1000002,1000433
1000002,1000434
1000002,1000445
1000002,1000481
1000002,1000497
1000002,1000502
1000002,1000515
1000002,1000524
1000002,1000535
1000002,1000536
1000002,1000551
1000002,1000556
1000002,1000566
1000002,1000567
1000002,1000579
1000002,1000580
1000002,1000588
1000002,1000592
1000002,1000603
1000002,1000604
1000002,1000615
1000002,1000617
1000002,1000626
1000002,1000627
1000002,1000628
1000002,1000635
1000002,1000636
1000002,1000646
1000002,1000652
1000002,1000666
1000002,1000669
1000002,1000670
1000002,1000680
1000002,1000684
1000002,1000692
1000002,1000693
1000002,1000704
1000002,1000709
1000002,1000710
1000002,1000726
1000002,1000767
1000002,1000776
1000002,1000777
1000002,1000784
1000002,1000788
1000002,1000798
1000002,1000804
1000002,1000812
1000002,1000822
1000002,1000830
1000002,1000832
1000002,1000842
1000002,1000853
1000002,1000862
1000002,1000863
1000002,1000872
1000002,1000884
1000002,1000885
1000002,1000896
1000002,1000900
1000002,1000911
1000002,1000914
1000002,1000926
1000002,1000945
1000002,1000952
1000002,1000957
1000002,1000958
1000002,1000968
1000002,1000971
1000002,1000978
1000002,1000979
1000002,1000991
1000002,1000996
1000002,1001004
1000002,1001005
1000002,1001018
1000002,1001019
1001024,1001027
1001024,1001031
1001024,1001032
1001024,1001036
1001024,1001041
1001024,1001045
1001024,1001052
1001024,1001059
1001024,1001063
1001024,1001064
1001024,1001068
1001024,1001072
1001024,1001076
1001024,1001080
1001024,1001087
1001024,1001091
1001024,1001095
1001024,1001096
1001024,1001103
1001024,1001110
1001024,1001114
1001024,1001115
1001024,1001119
1001024,1001120
1001024,1001124
1001024,1001125
1001024,1001129
1001024,1001133
1001024,1001137
1001024,1001138
1001024,1001145
1001024,1001148
1001024,1001153
1001024,1001157
1001024,1001161
1001024,1001168
1001024,1001172
1001024,1001179
1001024,1001186
1001024,1001190
1001024,1001194
1001024,1001198
1001024,1001202
1001024,1001206
1001024,1001210
1001024,1001211
1001024,1001217
1001024,1001232
1001024,1001236
1001024,1001237
1001024,1001241
1001024,1001242
1001024,1001246
1001024,1001247
1001024,1001254
1001024,1001255
1001024,1001260
1001024,1001266
1001024,1001270
1001024,1001271
1001024,1001275
1001024,1001280
1001024,1001285
1001024,1001289
1001024,1001293
1001024,1001294
1001024,1001302
1001024,1001306
1001024,1001311
1001024,1001315
1001024,1001320
1001024,1001324
1001024,1001328
1001024,1001332
1001024,1001333
1001024,1001337
1001024,1001338
1001024,1001342
1001024,1001343
1001024,1001347
1001024,1001348
1001024,1001352
1001024,1001353
1001024,1001357
1001024,1001358
1001024,1001362
1001024,1001366
1001024,1001371
1001024,1001376
1001024,1001377
1001024,1001381
1001024,1001386
1001024,1001390
1001024,1001394
1001024,1001398
1001024,1001399
1001024,1001403
1001024,1001407
1001024,1001411
1001024,1001416
1001024,1001420
1001024,1001424
1001024,1001431
1001024,1001435
1001024,1001445
1001024,1001454
1001024,1001461
1001024,1001465
1001024,1001469
1001024,1001470
1001024,1001474
1001024,1001475
1001024,1001482
1001024,1001486
1001024,1001490
1001024,1001497
1001024,1001507
1001024,1001511
1001024,1001516
1001024,1001520
1001024,1001525
1001024,1001529
1001024,1001530
1001024,1001534
1001024,1001535
1001024,1001539
1001024,1001540
1001024,1001544
1001024,1001549
1001024,1001556
1001024,1001560
1001024,1001564
1001024,1001570
1001024,1001571
1001024,1001575
1001024,1001576
1001024,1001580
1001024,1001581
1001024,1001585
1001024,1001586
1001024,1001590
1001024,1001591
1001024,1001595
1001024,1001596
1001024,1001603
1001024,1001607
1001024,1001611
1001024,1001615
1001024,1001624
1001024,1001639
1001024,1001643
1001024,1001647
1001024,1001651
1001024,1001655
1001024,1001659
1001024,1001667
1001024,1001679
1001024,1001683
1001024,1001684
1001024,1001688
1001024,1001693
1001024,1001697
1001024,1001701
1001024,1001707
1001024,1001711
1001024,1001712
1001024,1001719
1001024,1001723
1001024,1001727
1001024,1001728
1001024,1001734
1001024,1001735
1001024,1001741
1001024,1001751
1001024,1001755
1001024,1001756
1001024,1001760
1001024,1001761
1001024,1001765
1001024,1001770
1001024,1001771
1001024,1001776
1001024,1001781
1001024,1001786
1001024,1001792
1001024,1001799
1001024,1001803
1001024,1001808
1001024,1001812
1001024,1001816
1001024,1001821
1001024,1001825
1001024,1001829
1001024,1001830
1001024,1001834
1001024,1001835
1001024,1001839
1001024,1001840
1001024,1001847
1001024,1001855
1001024,1001862
1001024,1001868
1001024,1001876
1001024,1001891
1001024,1001895
1001024,1001900
1001024,1001904
1001024,1001911
1001024,1001921
1001024,1001925
1001024,1001929
1001024,1001935
1001024,1001939
1001024,1001940
1001024,1001945
1001024,1001946
1001024,1001950
1001024,1001951
1001024,1001955
1001024,1001959
1001024,1001963
1001024,1001968
1001024,1001973
1001024,1001977
1001024,1001984
1001024,1001988
1001024,1001995
1001024,1002011
1001024,1002015
1001024,1002016
1001024,1002023
1001024,1002024
1001024,1002030
1001024,1002038
1001024,1002045
1001024,1002051
1001024,1002055
1001024,1002056
1001024,1002062
1001024,1002068
1001024,1002076
1001024,1002082
1001024,1002086
1001024,1002091
1001024,1002095
1001024,1002099
1001024,1002100
1001024,1002104
1001024,1002105
1001024,1002109
1001024,1002113
1001024,1002117
1001024,1002121
1001024,1002125
1001024,1002126
1001024,1002130
1001024,1002131
1001024,1002135
1001024,1002136
1001024,1002140
1001024,1002141
1001024,1002145
1001024,1002146
1001024,1002150
1001024,1002151
1001024,1002155
1001024,1002162
1001024,1002170
1001024,1002171
1001024,1002178
1001024,1002179
1001024,1002186
1001024,1002195
1001024,1002199
1001024,1002203
1001024,1002208
1001024,1002212
1001024,1002216
1001024,1002217
1001024,1002223
1001024,1002229
1001024,1002233
1001024,1002237
1001024,1002242
1001024,1002247
1001024,1002251
1001024,1002255
1001024,1002256
1001024,1002263
1001024,1002270
1001024,1002274
1001024,1002275
1001024,1002279
1001024,1002280
1001024,1002286
1001024,1002296
1001024,1002300
1001024,1002301
1001024,1002306
1001024,1002310
1001024,1002311
1001024,1002315
1001024,1002320
1001024,1002324
1001024,1002329
1001024,1002335
1001024,1002336
1001024,1002340
1001024,1002341
1001024,1002345
1001024,1002349
1001024,1002353
1001024,1002357
1001024,1002362
1001024,1002366
1001024,1002373
1001024,1002381
1001024,1002388
1001024,1002397
1001024,1002408
1001024,1002418
1001024,1002422
1001024,1002423
1001024,1002427
1001024,1002428
1001024,1002432
1001024,1002433
1001024,1002437
1001024,1002438
1001024,1002441
1001024,1002445
1001024,1002450
1001024,1002451
1001024,1002459
1001024,1002471
1001024,1002476
1001024,1002480
1001024,1002484
1001024,1002488
1001024,1002494
1001024,1002504
