protein,comments
1000028,1000007
1000028,1000008
1000028,1000009
1000028,1000010
1000091,1000085
1000110,1000098
1000110,1000099
1000139,1000129
1000139,1000130
1000139,1000131
1000150,1000143
1000150,1000144
1000164,1000154
1000206,1000188
1000206,1000189
1000230,1000221
1000230,1000222
1000230,1000223
1000240,1000234
1000249,1000243
1000249,1000244
1000265,1000256
1000265,1000257
1000265,1000258
1000265,1000259
1000277,1000271
1000277,1000272
1000277,1000273
1000288,1000281
1000288,1000282
1000288,1000283
1000288,1000284
1000314,1000304
1000314,1000305
1000314,1000306
1000314,1000307
1000381,1000376
1000399,1000387
1000399,1000388
1000399,1000389
1000399,1000390
1000399,1000391
1000433,1000424
1000433,1000425
1000445,1000436
1000445,1000437
1000445,1000438
1000497,1000485
1000497,1000486
1000497,1000487
1000497,1000488
1000515,1000506
1000515,1000507
1000515,1000508
1000515,1000509
1000535,1000528
1000551,1000538
1000551,1000539
1000551,1000540
1000551,1000541
1000551,1000542
1000566,1000559
1000579,1000571
1000579,1000572
1000579,1000573
1000588,1000583
1000588,1000584
1000603,1000599
1000615,1000607
1000615,1000608
1000615,1000609
1000626,1000622
1000635,1000630
1000646,1000638
1000646,1000639
1000646,1000640
1000646,1000641
1000666,1000656
1000666,1000657
1000666,1000658
1000666,1000659
1000666,1000660
1000680,1000675
1000680,1000676
1000692,1000687
1000704,1000696
1000704,1000697
1000704,1000698
1000704,1000699
1000704,1000700
1000726,1000714
1000726,1000715
1000726,1000716
1000726,1000717
1000776,1000772
1000784,1000780
1000798,1000791
1000798,1000792
1000798,1000793
1000812,1000807
1000812,1000808
1000830,1000824
1000830,1000825
1000842,1000835
1000842,1000836
1000842,1000837
1000862,1000857
1000862,1000858
1000872,1000866
1000872,1000867
1000872,1000868
1000884,1000878
1000884,1000879
1000896,1000888
1000896,1000889
1000911,1000903
1000911,1000904
1000911,1000905
1000911,1000906
1000926,1000918
1000926,1000919
1000952,1000947
1000952,1000948
1000968,1000962
1000968,1000963
1000968,1000964
1000978,1000973
1000991,1000983
1000991,1000984
1000991,1000985
1000991,1000986
1000991,1000987
1001004,1000998
1001018,1001009
1001018,1001010
1001018,1001011
1001018,1001012
1001091,1001082
1001260,1001257
1001306,1001296
1001320,1001317
1001371,1001368
1001454,1001437
1001549,1001546
1001556,1001551
1001707,1001703
1001786,1001783
1001808,1001805
1001821,1001818
1001891,1001870
1001935,1001931
1001935,1001932
1001973,1001970
1002011,1001990
1002062,1002058
1002082,1002070
1002162,1002157
1002242,1002239
1002270,1002258
1002306,1002303
1002329,1002326
1002362,1002359
1002418,1002399
1002418,1002400
1002418,1002401
1002471,1002453
1002540,1002530
1002581,1002578
1002621,1002607
1002631,1002628
1002640,1002637
1002704,1002700
1002776,1002772
1002827,1002824
1002837,1002834
1002855,1002852
1002979,1002975
1003136,1003131
1003136,1003132
1003240,1003237
1003255,1003251
1003255,1003252
1003275,1003261
1003309,1003303
1003344,1003335
1003375,1003363
1003375,1003364
1003385,1003377
1003478,1003475
1003626,1003616
1003743,1003733
1003793,1003789
1003991,1003988
1004023,1004020
1004083,1004075
1004128,1004125
1004144,1004135
1004164,1004146
1004164,1004147
1004164,1004148
1004172,1004166
1004201,1004184
1004231,1004226
1004279,1004271
1004378,1004374
1004378,1004375
1004495,1004488
1004495,1004489
1004507,1004497
1004518,1004514
1004537,1004525
1004569,1004566
1004623,1004619
1004623,1004620
1004628,1004625
1004697,1004694
1004829,1004815
1004857,1004849
1005049,1005039
1005084,1005076
1005098,1005086
1005098,1005087
1005098,1005088
1005115,1005112
1005140,1005136
1005140,1005137
1005186,1005176
1005216,1005212
1005216,1005213
1005318,1005315
1005396,1005379
1005396,1005380
1005423,1005411
1005436,1005425
1005452,1005448
1005452,1005449
1005511,1005499
1005521,1005517
1005521,1005518
1005548,1005535
1005657,1005654
1005662,1005659
1005743,1005740
1005808,1005805
1005881,1005867
1005881,1005868
1005964,1005958
1006075,1006072
1006080,1006077
1006085,1006082
1006127,1006115
1006202,1006199
1006271,1006268
1006311,1006308
1006325,1006322
1006367,1006357
1006413,1006395
1006488,1006483
1006515,1006507
1006657,1006645
1006657,1006646
1006666,1006663
1006749,1006746
1006851,1006841
1006896,1006882
1006896,1006883
1006896,1006884
1006939,1006929
1007007,1007004
1007022,1007010
1007036,1007024
1007036,1007025
1007077,1007074
1007096,1007093
1007125,1007114
1007125,1007115
1007147,1007137
1007172,1007169
1007183,1007180
1007198,1007186
1007207,1007204
1007445,1007437
1007482,1007464
1007482,1007465
1007506,1007503
1007536,1007530
1007545,1007538
1007575,1007572
1007620,1007607
1007719,1007716
1007745,1007731
1007745,1007732
1007762,1007759
1007793,1007781
1007923,1007920
1008029,1008021
1008095,1008091
1008095,1008092
1008100,1008097
1008115,1008112
1008258,1008255
1008268,1008265
1008305,1008302
