location,datasets
2000004,2000001
2000007,2000001
2000010,2000001
2000013,2000001
2000016,2000001
2000018,2000001
2000020,2000001
2000023,2000001
2000025,2000001
2000027,2000001
2000030,2000001
2000032,2000001
2000034,2000001
2000037,2000001
2000039,2000001
2000041,2000001
2000043,2000001
2000046,2000001
2000048,2000001
2000050,2000001
2000053,2000001
2000055,2000001
2000057,2000001
2000059,2000001
2000062,2000001
2000064,2000001
2000066,2000001
2000069,2000001
2000071,2000001
2000073,2000001
2000075,2000001
2000077,2000001
2000079,2000001
2000081,2000001
2000083,2000001
2000086,2000001
2000088,2000001
2000090,2000001
2000092,2000001
2000094,2000001
2000096,2000001
2000098,2000001
2000100,2000001
2000102,2000001
2000104,2000001
2000106,2000001
2000108,2000001
2000111,2000001
2000113,2000001
2000115,2000001
2000117,2000001
2000120,2000001
2000122,2000001
2000124,2000001
2000126,2000001
2000129,2000001
2000131,2000001
2000133,2000001
2000135,2000001
2000138,2000001
2000140,2000001
2000142,2000001
2000145,2000001
2000147,2000001
2000149,2000001
2000151,2000001
2000153,2000001
2000155,2000001
2000158,2000001
2000160,2000001
2000162,2000001
2000164,2000001
2000167,2000001
2000169,2000001
2000171,2000001
2000173,2000001
2000176,2000001
2000178,2000001
2000180,2000001
2000182,2000001
2000185,2000001
2000187,2000001
2000189,2000001
2000191,2000001
2000194,2000001
2000196,2000001
2000198,2000001
2000200,2000001
2000203,2000001
2000205,2000001
2000207,2000001
2000209,2000001
2000211,2000001
2000213,2000001
2000216,2000001
2000218,2000001
2000220,2000001
2000222,2000001
2000225,2000001
2000227,2000001
2000229,2000001
2000231,2000001
2000234,2000001
2000236,2000001
2000238,2000001
2000241,2000001
2000243,2000001
2000245,2000001
2000247,2000001
2000250,2000001
2000252,2000001
2000254,2000001
2000256,2000001
2000258,2000001
2000260,2000001
2000263,2000001
2000265,2000001
2000267,2000001
2000270,2000001
2000272,2000001
2000274,2000001
2000277,2000001
2000279,2000001
2000281,2000001
2000283,2000001
2000286,2000001
2000288,2000001
2000290,2000001
2000293,2000001
2000295,2000001
2000297,2000001
2000299,2000001
2000302,2000001
2000304,2000001
2000306,2000001
2000308,2000001
2000311,2000001
2000313,2000001
2000315,2000001
2000318,2000001
2000320,2000001
2000322,2000001
2000325,2000001
