ontologyterm,datasets
1000011,1000002
1000012,1000002
1000013,1000002
1000014,1000002
1000015,1000002
1000016,1000002
1000017,1000002
1000018,1000002
1000019,1000002
1000020,1000002
1000021,1000002
1000022,1000002
1000023,1000002
1000081,1000002
1000086,1000002
1000087,1000002
1000100,1000002
1000101,1000002
1000102,1000002
1000103,1000002
1000104,1000002
1000105,1000002
1000106,1000002
1000132,1000002
1000133,1000002
1000134,1000002
1000135,1000002
1000145,1000002
1000146,1000002
1000155,1000002
1000156,1000002
1000157,1000002
1000158,1000002
1000159,1000002
1000160,1000002
1000181,1000002
1000190,1000002
1000191,1000002
1000192,1000002
1000193,1000002
1000194,1000002
1000195,1000002
1000196,1000002
1000197,1000002
1000198,1000002
1000199,1000002
1000200,1000002
1000201,1000002
1000202,1000002
1000224,1000002
1000225,1000002
1000226,1000002
1000235,1000002
1000236,1000002
1000245,1000002
1000260,1000002
1000261,1000002
1000291,1000002
1000292,1000002
1000293,1000002
1000294,1000002
1000308,1000002
1000309,1000002
1000310,1000002
1000377,1000002
1000392,1000002
1000393,1000002
1000394,1000002
1000395,1000002
1000426,1000002
1000427,1000002
1000428,1000002
1000429,1000002
1000439,1000002
1000440,1000002
1000441,1000002
1000478,1000002
1000489,1000002
1000490,1000002
1000491,1000002
1000492,1000002
1000493,1000002
1000510,1000002
1000511,1000002
1000529,1000002
1000530,1000002
1000531,1000002
1000543,1000002
1000544,1000002
1000545,1000002
1000546,1000002
1000547,1000002
1000560,1000002
1000561,1000002
1000562,1000002
1000574,1000002
1000575,1000002
1000589,1000002
1000593,1000002
1000610,1000002
1000611,1000002
1000631,1000002
1000642,1000002
1000661,1000002
1000662,1000002
1000688,1000002
1000718,1000002
1000719,1000002
1000720,1000002
1000721,1000002
1000722,1000002
1000794,1000002
1000826,1000002
1000838,1000002
1000880,1000002
1000890,1000002
1000891,1000002
1000892,1000002
1000907,1000002
1000920,1000002
1000921,1000002
1000922,1000002
1000974,1000002
1000999,1000002
1001000,1000002
1001013,1000002
1001014,1000002
1001049,1001024
1001053,1001024
1001056,1001024
1001088,1001024
1001100,1001024
1001104,1001024
1001107,1001024
1001142,1001024
1001150,1001024
1001165,1001024
1001169,1001024
1001176,1001024
1001180,1001024
1001183,1001024
1001218,1001024
1001223,1001024
1001226,1001024
1001229,1001024
1001251,1001024
1001282,1001024
1001299,1001024
1001303,1001024
1001308,1001024
1001383,1001024
1001413,1001024
1001428,1001024
1001432,1001024
1001438,1001024
1001439,1001024
1001442,1001024
1001448,1001024
1001451,1001024
1001458,1001024
1001462,1001024
1001479,1001024
1001483,1001024
1001494,1001024
1001500,1001024
1001552,1001024
1001553,1001024
1001600,1001024
1001604,1001024
1001618,1001024
1001621,1001024
1001625,1001024
1001630,1001024
1001633,1001024
1001636,1001024
1001664,1001024
1001668,1001024
1001673,1001024
1001676,1001024
1001704,1001024
1001716,1001024
1001720,1001024
1001742,1001024
1001745,1001024
1001748,1001024
1001773,1001024
1001793,1001024
1001796,1001024
1001844,1001024
1001850,1001024
1001859,1001024
1001863,1001024
1001873,1001024
1001877,1001024
1001880,1001024
1001885,1001024
1001888,1001024
1001912,1001024
1001915,1001024
1001918,1001024
1001942,1001024
1001965,1001024
1001981,1001024
1001985,1001024
1001998,1001024
1002003,1001024
1002008,1001024
1002020,1001024
1002031,1001024
1002042,1001024
1002046,1001024
1002059,1001024
1002073,1001024
1002079,1001024
1002158,1001024
1002159,1001024
1002167,1001024
1002175,1001024
1002183,1001024
1002187,1001024
1002190,1001024
1002205,1001024
1002224,1001024
1002287,1001024
1002290,1001024
1002293,1001024
1002374,1001024
1002385,1001024
1002389,1001024
1002392,1001024
1002402,1001024
1002405,1001024
1002409,1001024
1002412,1001024
1002415,1001024
1002456,1001024
1002462,1001024
1002465,1001024
1002468,1001024
1002473,1001024
1002495,1001024
1002498,1001024
1002501,1001024
1002598,1001024
1002602,1001024
1002613,1001024
1002616,1001024
1002657,1001024
1002663,1001024
1002688,1001024
1002701,1001024
1002792,1001024
1002795,1001024
1002799,1001024
1002802,1001024
1002861,1001024
1002941,1001024
1002945,1001024
1002957,1001024
1002961,1001024
1002976,1001024
1003000,1001024
1003006,1001024
1003023,1001024
1003043,1001024
1003133,1001024
1003145,1001024
1003217,1001024
1003220,1001024
1003223,1001024
1003267,1001024
1003272,1001024
1003279,1001024
1003338,1001024
1003367,1001024
1003419,1001024
1003423,1001024
1003527,1001024
1003531,1001024
1003540,1001024
1003554,1001024
1003558,1001024
1003563,1001024
1003581,1001024
1003585,1001024
1003588,1001024
1003593,1001024
1003736,1001024
1003740,1001024
1003784,1001024
1003790,1001024
1003841,1001024
1003966,1001024
1003973,1001024
1004138,1001024
1004149,1001024
1004152,1001024
1004156,1001024
1004161,1001024
1004185,1001024
1004186,1001024
1004189,1001024
1004217,1001024
1004227,1001024
1004228,1001024
1004295,1001024
1004398,1001024
1004401,1001024
1004490,1001024
1004491,1001024
1004492,1001024
1004500,1001024
1004504,1001024
1004531,1001024
1004534,1001024
1004685,1001024
1004766,1001024
1004770,1001024
1004780,1001024
1004783,1001024
1004892,1001024
1005031,1001024
1005238,1001024
1005332,1001024
1005390,1001024
1005393,1001024
1005400,1001024
1005404,1001024
1005417,1001024
1005420,1001024
1005433,1001024
1005478,1001024
1005494,1001024
1005536,1001024
1005539,1001024
1005543,1001024
1005557,1001024
1005561,1001024
1005564,1001024
1005635,1001024
1005641,1001024
1005644,1001024
1005649,1001024
1005697,1001024
1005723,1001024
1005726,1001024
1005827,1001024
1005869,1001024
1005925,1001024
1005929,1001024
1005978,1001024
1005982,1001024
1005992,1001024
1005997,1001024
1006021,1001024
1006027,1001024
1006178,1001024
1006182,1001024
1006214,1001024
1006298,1001024
1006349,1001024
1006398,1001024
1006402,1001024
1006405,1001024
1006410,1001024
1006484,1001024
