synonym,datasets
1000094,1000002
1000095,1000002
1000127,1000002
1000141,1000002
1000152,1000002
1000217,1000002
1000218,1000002
1000219,1000002
1000232,1000002
1000251,1000002
1000252,1000002
1000253,1000002
1000268,1000002
1000269,1000002
1000279,1000002
1000370,1000002
1000371,1000002
1000372,1000002
1000373,1000002
1000374,1000002
1000422,1000002
1000482,1000002
1000483,1000002
1000503,1000002
1000504,1000002
1000525,1000002
1000526,1000002
1000557,1000002
1000568,1000002
1000569,1000002
1000581,1000002
1000596,1000002
1000597,1000002
1000605,1000002
1000618,1000002
1000619,1000002
1000620,1000002
1000653,1000002
1000671,1000002
1000672,1000002
1000685,1000002
1000694,1000002
1000711,1000002
1000768,1000002
1000769,1000002
1000770,1000002
1000778,1000002
1000789,1000002
1000833,1000002
1000854,1000002
1000855,1000002
1000864,1000002
1000875,1000002
1000876,1000002
1000886,1000002
1000901,1000002
1000915,1000002
1000959,1000002
1000960,1000002
1000980,1000002
1001006,1000002
1001007,1000002
1001020,1000002
1001021,1000002
1001022,1000002
1001037,1001024
1001261,1001024
1001262,1001024
1001276,1001024
1001372,1001024
1001512,1001024
1001521,1001024
1001616,1001024
1001660,1001024
1001689,1001024
1001766,1001024
1001777,1001024
1001896,1001024
1001905,1001024
1002063,1001024
1002087,1001024
1002163,1001024
1002243,1001024
1002316,1001024
1002367,1001024
1002446,1001024
1002582,1001024
1002705,1001024
1002817,1001024
1002828,1001024
1002909,1001024
1002910,1001024
1002919,1001024
1002929,1001024
1002973,1001024
1003057,1001024
1003062,1001024
1003071,1001024
1003091,1001024
1003192,1001024
1003201,1001024
1003245,1001024
1003323,1001024
1003333,1001024
1003353,1001024
1003459,1001024
1003469,1001024
1003513,1001024
1003514,1001024
1003614,1001024
1003730,1001024
1003731,1001024
1003753,1001024
1003858,1001024
1004093,1001024
1004210,1001024
1004324,1001024
1004440,1001024
1004555,1001024
1004570,1001024
1004678,1001024
1004728,1001024
1004729,1001024
1004813,1001024
1004834,1001024
1004878,1001024
1004879,1001024
1004931,1001024
1004940,1001024
1004977,1001024
1005059,1001024
1005060,1001024
1005061,1001024
1005068,1001024
1005069,1001024
1005134,1001024
1005221,1001024
1005446,1001024
1005462,1001024
1005463,1001024
1005476,1001024
1005607,1001024
1005744,1001024
1005766,1001024
1005767,1001024
1005821,1001024
1005891,1001024
1005900,1001024
1005951,1001024
1005952,1001024
1006012,1001024
1006017,1001024
1006035,1001024
1006149,1001024
1006207,1001024
1006261,1001024
1006276,1001024
1006281,1001024
1006320,1001024
1006381,1001024
1006481,1001024
1006493,1001024
1006619,1001024
1006743,1001024
1006744,1001024
1006750,1001024
1006772,1001024
1006901,1001024
1006914,1001024
1006944,1001024
1007008,1001024
1007041,1001024
1007086,1001024
1007087,1001024
1007163,1001024
1007173,1001024
1007296,1001024
1007317,1001024
1007326,1001024
1007435,1001024
1007454,1001024
1007565,1001024
1007570,1001024
1007580,1001024
1007581,1001024
1007593,1001024
1007647,1001024
1007720,1001024
1007729,1001024
1007798,1001024
1007819,1001024
1007820,1001024
1007896,1001024
1007989,1001024
1008042,1001024
1008124,1001024
1008259,1001024
1008314,1001024
1008315,1001024
1008375,1001024
1008544,1001024
1008597,1001024
1008720,1001024
1008849,1001024
1008970,1001024
1008971,1001024
1008981,1001024
1009000,1001024
1009089,1001024
1009116,1001024
1009117,1001024
1009260,1001024
1009269,1001024
1009287,1001024
1009327,1001024
1009328,1001024
1009333,1001024
1009380,1001024
1009403,1001024
1009523,1001024
1009554,1001024
1009680,1001024
1009681,1001024
1009691,1001024
1009810,1001024
1009815,1001024
1009821,1001024
1009872,1001024
1009957,1001024
1010176,1001024
1010177,1001024
1010185,1001024
1010324,1001024
1010330,1001024
1010345,1001024
1010386,1001024
1010387,1001024
1010388,1001024
1010581,1001024
1010666,1001024
1010687,1001024
1010822,1001024
1010874,1001024
1010954,1001024
1010955,1001024
1010960,1001024
1010974,1001024
1011030,1001024
1011129,1001024
1011223,1001024
1011248,1001024
1011249,1001024
1011258,1001024
1011378,1001024
1011387,1001024
1011405,1001024
1011509,1001024
1011533,1001024
1011584,1001024
1011585,1001024
1011629,1001024
1011638,1001024
1011663,1001024
1011765,1001024
1011888,1001024
1011897,1001024
1012028,1001024
1012084,1001024
1012155,1001024
1012189,1001024
1012190,1001024
1012264,1001024
1012313,1001024
1012407,1001024
1012485,1001024
1012490,1001024
1012491,1001024
1012505,1001024
1012543,1001024
