exons,transcripts
2000011,2000008
2000019,2000017
2000026,2000024
2000033,2000031
2000040,2000038
2000042,2000038
2000049,2000047
2000056,2000054
2000058,2000054
2000065,2000063
2000072,2000070
2000074,2000070
2000076,2000070
2000078,2000070
2000080,2000070
2000082,2000070
2000089,2000087
2000091,2000087
2000093,2000087
2000095,2000087
2000097,2000087
2000099,2000087
2000101,2000087
2000103,2000087
2000105,2000087
2000107,2000087
2000114,2000112
2000116,2000112
2000123,2000121
2000125,2000121
2000132,2000130
2000134,2000130
2000141,2000139
2000148,2000146
2000150,2000146
2000152,2000146
2000154,2000146
2000161,2000159
2000163,2000159
2000170,2000168
2000172,2000168
2000179,2000177
2000181,2000177
2000188,2000186
2000190,2000186
2000197,2000195
2000199,2000195
2000206,2000204
2000208,2000204
2000210,2000204
2000212,2000204
2000219,2000217
2000221,2000217
2000228,2000226
2000230,2000226
2000237,2000235
2000244,2000242
2000246,2000242
2000253,2000251
2000255,2000251
2000257,2000251
2000259,2000251
2000266,2000264
2000273,2000271
2000280,2000278
2000282,2000278
2000289,2000287
2000296,2000294
2000298,2000294
2000305,2000303
2000307,2000303
2000314,2000312
2000321,2000319
2000328,2000326
2000330,2000326
2000337,2000335
2000339,2000335
2000341,2000335
2000343,2000335
2000350,2000348
2000352,2000348
2000354,2000348
2000361,2000359
2000368,2000366
2000370,2000366
2000377,2000375
2000384,2000382
2000386,2000382
2000393,2000391
2000395,2000391
2000397,2000391
2000399,2000391
2000401,2000391
2000403,2000391
2000410,2000408
2000412,2000408
2000419,2000417
2000426,2000424
2000433,2000431
2000440,2000438
2000442,2000438
2000444,2000438
2000446,2000438
2000453,2000451
2000460,2000458
2000467,2000465
2000469,2000465
2000476,2000474
2000478,2000474
2000485,2000483
2000492,2000490
2000494,2000490
2000501,2000499
2000503,2000499
2000510,2000508
2000512,2000508
2000519,2000517
2000521,2000517
2000528,2000526
2000530,2000526
2000532,2000526
2000534,2000526
2000541,2000539
2000548,2000546
2000555,2000553
2000557,2000553
2000559,2000553
2000566,2000564
2000573,2000571
2000575,2000571
2000577,2000571
2000579,2000571
2000581,2000571
2000588,2000586
2000590,2000586
2000592,2000586
2000599,2000597
2000601,2000597
2000608,2000606
2000610,2000606
2000617,2000615
2000624,2000622
2000626,2000622
2000633,2000631
2000640,2000638
