proteins,genes
1000028,1000082
1000091,1000092
1000091,1000093
1000110,1000126
1000139,1000140
1000150,1000151
1000164,1000184
1000206,1000216
1000230,1000231
1000240,1000241
1000249,1000250
1000265,1000267
1000277,1000278
1000288,1000289
1000298,1000300
1000314,1000369
1000381,1000383
1000381,1000384
1000399,1000421
1000433,1000434
1000445,1000481
1000497,1000502
1000515,1000524
1000535,1000536
1000551,1000556
1000566,1000567
1000579,1000580
1000588,1000592
1000603,1000604
1000615,1000617
1000626,1000627
1000626,1000628
1000635,1000636
1000646,1000652
1000666,1000669
1000666,1000670
1000680,1000684
1000692,1000693
1000704,1000709
1000704,1000710
1000726,1000767
1000776,1000777
1000784,1000788
1000798,1000804
1000812,1000822
1000830,1000832
1000842,1000853
1000862,1000863
1000884,1000885
1000896,1000900
1000911,1000914
1000926,1000945
1000952,1000957
1000952,1000958
1000968,1000971
1000978,1000979
1000991,1000996
1001004,1001005
1001018,1001019
1001032,1001031
1001059,1001052
1001064,1001063
1001091,1001087
1001096,1001095
1001110,1001103
1001115,1001114
1001120,1001119
1001125,1001124
1001138,1001137
1001148,1001145
1001172,1001168
1001186,1001179
1001211,1001210
1001232,1001217
1001237,1001236
1001242,1001241
1001247,1001246
1001255,1001254
1001271,1001270
1001294,1001293
1001306,1001302
1001333,1001332
1001338,1001337
1001343,1001342
1001348,1001347
1001353,1001352
1001358,1001357
1001377,1001376
1001399,1001398
1001435,1001431
1001454,1001445
1001465,1001461
1001470,1001469
1001475,1001474
1001486,1001482
1001507,1001497
1001530,1001529
1001535,1001534
1001540,1001539
1001571,1001570
1001576,1001575
1001581,1001580
1001586,1001585
1001591,1001590
1001596,1001595
1001607,1001603
1001639,1001624
1001679,1001667
1001684,1001683
1001712,1001711
1001723,1001719
1001728,1001727
1001735,1001734
1001751,1001741
1001756,1001755
1001761,1001760
1001771,1001770
1001799,1001792
1001830,1001829
1001835,1001834
1001840,1001839
1001855,1001847
1001868,1001862
1001891,1001876
1001921,1001911
1001940,1001939
1001946,1001945
1001951,1001950
1001988,1001984
1002011,1001995
1002016,1002015
1002024,1002023
1002038,1002030
1002051,1002045
1002056,1002055
1002082,1002076
1002100,1002099
1002105,1002104
1002126,1002125
1002131,1002130
1002136,1002135
1002141,1002140
1002146,1002145
1002151,1002150
1002171,1002170
1002179,1002178
1002195,1002186
1002217,1002216
1002229,1002223
1002256,1002255
1002270,1002263
1002275,1002274
1002280,1002279
1002296,1002286
1002301,1002300
1002311,1002310
1002336,1002335
1002341,1002340
1002381,1002373
1002397,1002388
1002418,1002408
1002423,1002422
1002428,1002427
1002433,1002432
1002438,1002437
1002451,1002450
1002471,1002459
1002504,1002494
1002540,1002535
1002547,1002546
1002552,1002551
1002557,1002556
1002562,1002561
1002567,1002566
1002576,1002575
1002605,1002601
1002621,1002612
1002626,1002625
1002653,1002652
1002666,1002660
1002671,1002670
1002676,1002675
1002681,1002680
1002693,1002687
1002698,1002697
1002714,1002713
1002739,1002738
1002744,1002743
1002765,1002764
1002770,1002769
1002776,1002775
1002781,1002780
1002790,1002787
1002805,1002798
1002812,1002811
1002822,1002821
1002842,1002841
1002879,1002874
1002884,1002883
1002889,1002888
1002894,1002893
1002899,1002898
1002904,1002903
