qualifier,annotationextension,id,ontologytermid,subjectid,class
,,1000183,1000181,1000184,org.intermine.model.bio.GOAnnotation
,,1000480,1000478,1000481,org.intermine.model.bio.GOAnnotation
,,1000591,1000589,1000592,org.intermine.model.bio.GOAnnotation
,,1000595,1000593,1000592,org.intermine.model.bio.GOAnnotation
,,1000683,1000589,1000684,org.intermine.model.bio.GOAnnotation
,,1000787,1000593,1000788,org.intermine.model.bio.GOAnnotation
,,1001051,1001049,1001052,org.intermine.model.bio.GOAnnotation
,,1001055,1001053,1001052,org.intermine.model.bio.GOAnnotation
,,1001058,1001056,1001052,org.intermine.model.bio.GOAnnotation
,,1001086,1000478,1001087,org.intermine.model.bio.GOAnnotation
,,1001090,1001088,1001087,org.intermine.model.bio.GOAnnotation
,,1001102,1001100,1001103,org.intermine.model.bio.GOAnnotation
,,1001106,1001104,1001103,org.intermine.model.bio.GOAnnotation
,,1001109,1001107,1001103,org.intermine.model.bio.GOAnnotation
,,1001144,1001142,1001145,org.intermine.model.bio.GOAnnotation
,,1001147,1001088,1001145,org.intermine.model.bio.GOAnnotation
,,1001167,1001165,1001168,org.intermine.model.bio.GOAnnotation
,,1001171,1001169,1001168,org.intermine.model.bio.GOAnnotation
,,1001178,1001176,1001179,org.intermine.model.bio.GOAnnotation
,,1001182,1001180,1001179,org.intermine.model.bio.GOAnnotation
,,1001185,1001183,1001179,org.intermine.model.bio.GOAnnotation
,,1001216,1000478,1001217,org.intermine.model.bio.GOAnnotation
,,1001220,1001218,1001217,org.intermine.model.bio.GOAnnotation
,,1001222,1001088,1001217,org.intermine.model.bio.GOAnnotation
,,1001225,1001223,1001217,org.intermine.model.bio.GOAnnotation
,,1001228,1001226,1001217,org.intermine.model.bio.GOAnnotation
,,1001231,1001229,1001217,org.intermine.model.bio.GOAnnotation
,,1001253,1001251,1001254,org.intermine.model.bio.GOAnnotation
,,1001301,1001299,1001302,org.intermine.model.bio.GOAnnotation
,,1001305,1001303,1001302,org.intermine.model.bio.GOAnnotation
,,1001430,1001428,1001431,org.intermine.model.bio.GOAnnotation
,,1001434,1001432,1001431,org.intermine.model.bio.GOAnnotation
,,1001444,1001442,1001445,org.intermine.model.bio.GOAnnotation
,,1001447,1001223,1001445,org.intermine.model.bio.GOAnnotation
,,1001450,1001448,1001445,org.intermine.model.bio.GOAnnotation
,,1001453,1001451,1001445,org.intermine.model.bio.GOAnnotation
,,1001460,1001458,1001461,org.intermine.model.bio.GOAnnotation
,,1001464,1001462,1001461,org.intermine.model.bio.GOAnnotation
,,1001481,1001479,1001482,org.intermine.model.bio.GOAnnotation
,,1001485,1001483,1001482,org.intermine.model.bio.GOAnnotation
,,1001496,1001494,1001497,org.intermine.model.bio.GOAnnotation
,,1001499,1001176,1001497,org.intermine.model.bio.GOAnnotation
,,1001502,1001500,1001497,org.intermine.model.bio.GOAnnotation
,,1001504,1001180,1001497,org.intermine.model.bio.GOAnnotation
,,1001506,1001183,1001497,org.intermine.model.bio.GOAnnotation
,,1001569,1001251,1001570,org.intermine.model.bio.GOAnnotation
,,1001602,1001600,1001603,org.intermine.model.bio.GOAnnotation
,,1001606,1001604,1001603,org.intermine.model.bio.GOAnnotation
,,1001623,1001621,1001624,org.intermine.model.bio.GOAnnotation
,,1001627,1001625,1001624,org.intermine.model.bio.GOAnnotation
,,1001629,1001142,1001624,org.intermine.model.bio.GOAnnotation
