withtext,id,codeid,class
,1000182,1000180,org.intermine.model.bio.GOEvidence
,1000479,1000477,org.intermine.model.bio.GOEvidence
,1000590,1000180,org.intermine.model.bio.GOEvidence
,1000594,1000180,org.intermine.model.bio.GOEvidence
,1000682,1000180,org.intermine.model.bio.GOEvidence
,1000786,1000180,org.intermine.model.bio.GOEvidence
,1001050,1000180,org.intermine.model.bio.GOEvidence
,1001054,1000180,org.intermine.model.bio.GOEvidence
,1001057,1000180,org.intermine.model.bio.GOEvidence
,1001085,1000180,org.intermine.model.bio.GOEvidence
,1001089,1000180,org.intermine.model.bio.GOEvidence
,1001101,1000180,org.intermine.model.bio.GOEvidence
,1001105,1000180,org.intermine.model.bio.GOEvidence
,1001108,1000180,org.intermine.model.bio.GOEvidence
,1001143,1000180,org.intermine.model.bio.GOEvidence
,1001146,1000180,org.intermine.model.bio.GOEvidence
,1001166,1000180,org.intermine.model.bio.GOEvidence
,1001170,1000180,org.intermine.model.bio.GOEvidence
,1001177,1000180,org.intermine.model.bio.GOEvidence
,1001181,1000180,org.intermine.model.bio.GOEvidence
,1001184,1000180,org.intermine.model.bio.GOEvidence
,1001215,1000180,org.intermine.model.bio.GOEvidence
,1001219,1000180,org.intermine.model.bio.GOEvidence
,1001221,1000180,org.intermine.model.bio.GOEvidence
,1001224,1000180,org.intermine.model.bio.GOEvidence
,1001227,1000180,org.intermine.model.bio.GOEvidence
,1001230,1000180,org.intermine.model.bio.GOEvidence
,1001252,1000180,org.intermine.model.bio.GOEvidence
,1001300,1000180,org.intermine.model.bio.GOEvidence
,1001304,1000180,org.intermine.model.bio.GOEvidence
,1001429,1000180,org.intermine.model.bio.GOEvidence
,1001433,1000180,org.intermine.model.bio.GOEvidence
,1001443,1000180,org.intermine.model.bio.GOEvidence
,1001446,1000180,org.intermine.model.bio.GOEvidence
,1001449,1000180,org.intermine.model.bio.GOEvidence
,1001452,1000180,org.intermine.model.bio.GOEvidence
,1001459,1000180,org.intermine.model.bio.GOEvidence
,1001463,1000180,org.intermine.model.bio.GOEvidence
,1001480,1000180,org.intermine.model.bio.GOEvidence
,1001484,1000180,org.intermine.model.bio.GOEvidence
,1001495,1000180,org.intermine.model.bio.GOEvidence
,1001498,1000180,org.intermine.model.bio.GOEvidence
,1001501,1000180,org.intermine.model.bio.GOEvidence
,1001503,1000180,org.intermine.model.bio.GOEvidence
,1001505,1000180,org.intermine.model.bio.GOEvidence
,1001568,1000180,org.intermine.model.bio.GOEvidence
,1001601,1000180,org.intermine.model.bio.GOEvidence
,1001605,1000180,org.intermine.model.bio.GOEvidence
,1001622,1000180,org.intermine.model.bio.GOEvidence
,1001626,1000180,org.intermine.model.bio.GOEvidence
,1001628,1000180,org.intermine.model.bio.GOEvidence
,1001631,1000180,org.intermine.model.bio.GOEvidence
,1001634,1000180,org.intermine.model.bio.GOEvidence
,1001637,1000180,org.intermine.model.bio.GOEvidence
,1001665,1000180,org.intermine.model.bio.GOEvidence
,1001669,1000180,org.intermine.model.bio.GOEvidence
,1001671,1000180,org.intermine.model.bio.GOEvidence
,1001674,1000180,org.intermine.model.bio.GOEvidence
,1001677,1000180,org.intermine.model.bio.GOEvidence
,1001717,1000180,org.intermine.model.bio.GOEvidence
,1001721,1000180,org.intermine.model.bio.GOEvidence
,1001732,1000180,org.intermine.model.bio.GOEvidence
,1001739,1000180,org.intermine.model.bio.GOEvidence
,1001743,1000180,org.intermine.model.bio.GOEvidence
,1001746,1000180,org.intermine.model.bio.GOEvidence
,1001749,1000180,org.intermine.model.bio.GOEvidence
,1001790,1000180,org.intermine.model.bio.GOEvidence
,1001794,1000180,org.intermine.model.bio.GOEvidence
,1001797,1000180,org.intermine.model.bio.GOEvidence
,1001845,1000180,org.intermine.model.bio.GOEvidence
,1001848,1000180,org.intermine.model.bio.GOEvidence
,1001851,1000180,org.intermine.model.bio.GOEvidence
,1001853,1000180,org.intermine.model.bio.GOEvidence
,1001860,1000180,org.intermine.model.bio.GOEvidence
,1001864,1000180,org.intermine.model.bio.GOEvidence
,1001866,1000180,org.intermine.model.bio.GOEvidence
,1001874,1000180,org.intermine.model.bio.GOEvidence
,1001878,1000180,org.intermine.model.bio.GOEvidence
,1001881,1000180,org.intermine.model.bio.GOEvidence
,1001883,1000180,org.intermine.model.bio.GOEvidence
,1001886,1000180,org.intermine.model.bio.GOEvidence
,1001889,1000180,org.intermine.model.bio.GOEvidence
,1001909,1000180,org.intermine.model.bio.GOEvidence
,1001913,1000180,org.intermine.model.bio.GOEvidence
,1001916,1000180,org.intermine.model.bio.GOEvidence
,1001919,1000180,org.intermine.model.bio.GOEvidence
,1001982,1000180,org.intermine.model.bio.GOEvidence
,1001986,1000180,org.intermine.model.bio.GOEvidence
,1001993,1000180,org.intermine.model.bio.GOEvidence
,1001996,1000180,org.intermine.model.bio.GOEvidence
,1001999,1000180,org.intermine.model.bio.GOEvidence
,1002001,1000180,org.intermine.model.bio.GOEvidence
,1002004,1000180,org.intermine.model.bio.GOEvidence
,1002006,1000180,org.intermine.model.bio.GOEvidence
,1002009,1000180,org.intermine.model.bio.GOEvidence
,1002021,1000180,org.intermine.model.bio.GOEvidence
,1002028,1000180,org.intermine.model.bio.GOEvidence
,1002032,1000180,org.intermine.model.bio.GOEvidence
,1002034,1000180,org.intermine.model.bio.GOEvidence
,1002036,1000180,org.intermine.model.bio.GOEvidence
,1002043,1000180,org.intermine.model.bio.GOEvidence
,1002047,1000180,org.intermine.model.bio.GOEvidence
,1002049,1000180,org.intermine.model.bio.GOEvidence
,1002074,1000180,org.intermine.model.bio.GOEvidence
,1002077,1000180,org.intermine.model.bio.GOEvidence
,1002080,1000180,org.intermine.model.bio.GOEvidence
,1002168,1000180,org.intermine.model.bio.GOEvidence
,1002176,1000180,org.intermine.model.bio.GOEvidence
,1002184,1000180,org.intermine.model.bio.GOEvidence
,1002188,1000180,org.intermine.model.bio.GOEvidence
,1002191,1000180,org.intermine.model.bio.GOEvidence
,1002193,1000180,org.intermine.model.bio.GOEvidence
,1002221,1000180,org.intermine.model.bio.GOEvidence
,1002225,1000180,org.intermine.model.bio.GOEvidence
,1002227,1000180,org.intermine.model.bio.GOEvidence
,1002261,1000180,org.intermine.model.bio.GOEvidence
,1002264,1000180,org.intermine.model.bio.GOEvidence
,1002266,1000180,org.intermine.model.bio.GOEvidence
,1002268,1000180,org.intermine.model.bio.GOEvidence
,1002284,1000180,org.intermine.model.bio.GOEvidence
,1002288,1000180,org.intermine.model.bio.GOEvidence
,1002291,1000180,org.intermine.model.bio.GOEvidence
,1002294,1000180,org.intermine.model.bio.GOEvidence
,1002333,1000180,org.intermine.model.bio.GOEvidence
,1002371,1000180,org.intermine.model.bio.GOEvidence
,1002375,1000180,org.intermine.model.bio.GOEvidence
,1002377,1000180,org.intermine.model.bio.GOEvidence
,1002379,1000180,org.intermine.model.bio.GOEvidence
,1002386,1000180,org.intermine.model.bio.GOEvidence
,1002390,1000180,org.intermine.model.bio.GOEvidence
,1002393,1000180,org.intermine.model.bio.GOEvidence
,1002395,1000180,org.intermine.model.bio.GOEvidence
,1002406,1000180,org.intermine.model.bio.GOEvidence
,1002410,1000180,org.intermine.model.bio.GOEvidence
,1002413,1000180,org.intermine.model.bio.GOEvidence
,1002416,1000180,org.intermine.model.bio.GOEvidence
,1002457,1000180,org.intermine.model.bio.GOEvidence
,1002460,1000180,org.intermine.model.bio.GOEvidence
,1002463,1000180,org.intermine.model.bio.GOEvidence
,1002466,1000180,org.intermine.model.bio.GOEvidence
,1002469,1000180,org.intermine.model.bio.GOEvidence
,1002492,1000180,org.intermine.model.bio.GOEvidence
,1002496,1000180,org.intermine.model.bio.GOEvidence
,1002499,1000180,org.intermine.model.bio.GOEvidence
,1002502,1000180,org.intermine.model.bio.GOEvidence
,1002533,1000180,org.intermine.model.bio.GOEvidence
,1002536,1000180,org.intermine.model.bio.GOEvidence
,1002538,1000180,org.intermine.model.bio.GOEvidence
,1002544,1000180,org.intermine.model.bio.GOEvidence
,1002599,1000180,org.intermine.model.bio.GOEvidence
,1002603,1000180,org.intermine.model.bio.GOEvidence
,1002610,1000180,org.intermine.model.bio.GOEvidence
,1002614,1000180,org.intermine.model.bio.GOEvidence
,1002617,1000180,org.intermine.model.bio.GOEvidence
,1002619,1000180,org.intermine.model.bio.GOEvidence
,1002658,1000180,org.intermine.model.bio.GOEvidence
,1002661,1000180,org.intermine.model.bio.GOEvidence
,1002664,1000180,org.intermine.model.bio.GOEvidence
,1002685,1000180,org.intermine.model.bio.GOEvidence
,1002689,1000180,org.intermine.model.bio.GOEvidence
,1002691,1000180,org.intermine.model.bio.GOEvidence
,1002785,1000180,org.intermine.model.bio.GOEvidence
,1002788,1000180,org.intermine.model.bio.GOEvidence
,1002796,1000180,org.intermine.model.bio.GOEvidence
,1002800,1000180,org.intermine.model.bio.GOEvidence
,1002803,1000180,org.intermine.model.bio.GOEvidence
,1002809,1000180,org.intermine.model.bio.GOEvidence
,1002872,1000180,org.intermine.model.bio.GOEvidence
,1002875,1000180,org.intermine.model.bio.GOEvidence
,1002877,1000180,org.intermine.model.bio.GOEvidence
,1002942,1000180,org.intermine.model.bio.GOEvidence
,1002946,1000180,org.intermine.model.bio.GOEvidence
,1002958,1000180,org.intermine.model.bio.GOEvidence
,1002962,1000180,org.intermine.model.bio.GOEvidence
,1003001,1000180,org.intermine.model.bio.GOEvidence
,1003004,1000180,org.intermine.model.bio.GOEvidence
,1003007,1000180,org.intermine.model.bio.GOEvidence
,1003013,1000180,org.intermine.model.bio.GOEvidence
,1003020,1000180,org.intermine.model.bio.GOEvidence
,1003024,1000180,org.intermine.model.bio.GOEvidence
,1003026,1000180,org.intermine.model.bio.GOEvidence
,1003032,1000180,org.intermine.model.bio.GOEvidence
,1003035,1000180,org.intermine.model.bio.GOEvidence
,1003037,1000180,org.intermine.model.bio.GOEvidence
,1003044,1000180,org.intermine.model.bio.GOEvidence
,1003075,1000180,org.intermine.model.bio.GOEvidence
,1003104,1000180,org.intermine.model.bio.GOEvidence
,1003107,1000180,org.intermine.model.bio.GOEvidence
,1003146,1000180,org.intermine.model.bio.GOEvidence
,1003149,1000180,org.intermine.model.bio.GOEvidence
,1003151,1000180,org.intermine.model.bio.GOEvidence
,1003214,1000180,org.intermine.model.bio.GOEvidence
,1003218,1000180,org.intermine.model.bio.GOEvidence
,1003221,1000180,org.intermine.model.bio.GOEvidence
,1003224,1000180,org.intermine.model.bio.GOEvidence
,1003226,1000180,org.intermine.model.bio.GOEvidence
,1003228,1000180,org.intermine.model.bio.GOEvidence
,1003264,1000180,org.intermine.model.bio.GOEvidence
,1003268,1000180,org.intermine.model.bio.GOEvidence
,1003270,1000180,org.intermine.model.bio.GOEvidence
,1003273,1000180,org.intermine.model.bio.GOEvidence
,1003280,1000180,org.intermine.model.bio.GOEvidence
,1003283,1000180,org.intermine.model.bio.GOEvidence
,1003285,1000180,org.intermine.model.bio.GOEvidence
,1003296,1000180,org.intermine.model.bio.GOEvidence
,1003299,1000180,org.intermine.model.bio.GOEvidence
,1003306,1000180,org.intermine.model.bio.GOEvidence
,1003327,1000180,org.intermine.model.bio.GOEvidence
,1003330,1000180,org.intermine.model.bio.GOEvidence
,1003339,1000180,org.intermine.model.bio.GOEvidence
,1003342,1000180,org.intermine.model.bio.GOEvidence
,1003368,1000180,org.intermine.model.bio.GOEvidence
,1003371,1000180,org.intermine.model.bio.GOEvidence
,1003373,1000180,org.intermine.model.bio.GOEvidence
,1003380,1000180,org.intermine.model.bio.GOEvidence
,1003383,1000180,org.intermine.model.bio.GOEvidence
,1003420,1000180,org.intermine.model.bio.GOEvidence
,1003424,1000180,org.intermine.model.bio.GOEvidence
,1003426,1000180,org.intermine.model.bio.GOEvidence
,1003428,1000180,org.intermine.model.bio.GOEvidence
,1003528,1000180,org.intermine.model.bio.GOEvidence
,1003532,1000180,org.intermine.model.bio.GOEvidence
,1003534,1000180,org.intermine.model.bio.GOEvidence
,1003536,1000180,org.intermine.model.bio.GOEvidence
,1003538,1000180,org.intermine.model.bio.GOEvidence
,1003541,1000180,org.intermine.model.bio.GOEvidence
,1003543,1000180,org.intermine.model.bio.GOEvidence
,1003555,1000180,org.intermine.model.bio.GOEvidence
,1003559,1000180,org.intermine.model.bio.GOEvidence
,1003561,1000180,org.intermine.model.bio.GOEvidence
,1003564,1000180,org.intermine.model.bio.GOEvidence
,1003570,1000180,org.intermine.model.bio.GOEvidence
,1003573,1000180,org.intermine.model.bio.GOEvidence
,1003575,1000180,org.intermine.model.bio.GOEvidence
,1003582,1000180,org.intermine.model.bio.GOEvidence
,1003586,1000180,org.intermine.model.bio.GOEvidence
,1003589,1000180,org.intermine.model.bio.GOEvidence
,1003591,1000180,org.intermine.model.bio.GOEvidence
,1003594,1000180,org.intermine.model.bio.GOEvidence
,1003600,1000180,org.intermine.model.bio.GOEvidence
,1003603,1000180,org.intermine.model.bio.GOEvidence
,1003619,1000180,org.intermine.model.bio.GOEvidence
,1003622,1000180,org.intermine.model.bio.GOEvidence
,1003624,1000180,org.intermine.model.bio.GOEvidence
,1003650,1000180,org.intermine.model.bio.GOEvidence
,1003653,1000180,org.intermine.model.bio.GOEvidence
,1003655,1000180,org.intermine.model.bio.GOEvidence
,1003657,1000180,org.intermine.model.bio.GOEvidence
,1003688,1000180,org.intermine.model.bio.GOEvidence
,1003737,1000180,org.intermine.model.bio.GOEvidence
,1003741,1000180,org.intermine.model.bio.GOEvidence
,1003779,1000180,org.intermine.model.bio.GOEvidence
,1003782,1000180,org.intermine.model.bio.GOEvidence
,1003785,1000180,org.intermine.model.bio.GOEvidence
,1003838,1000180,org.intermine.model.bio.GOEvidence
,1003842,1000180,org.intermine.model.bio.GOEvidence
,1003887,1000180,org.intermine.model.bio.GOEvidence
,1003890,1000180,org.intermine.model.bio.GOEvidence
,1003892,1000180,org.intermine.model.bio.GOEvidence
,1003894,1000180,org.intermine.model.bio.GOEvidence
,1003974,1000180,org.intermine.model.bio.GOEvidence
,1003977,1000180,org.intermine.model.bio.GOEvidence
,1003983,1000180,org.intermine.model.bio.GOEvidence
,1004078,1000180,org.intermine.model.bio.GOEvidence
,1004081,1000180,org.intermine.model.bio.GOEvidence
,1004139,1000180,org.intermine.model.bio.GOEvidence
,1004142,1000180,org.intermine.model.bio.GOEvidence
,1004153,1000180,org.intermine.model.bio.GOEvidence
,1004157,1000180,org.intermine.model.bio.GOEvidence
,1004159,1000180,org.intermine.model.bio.GOEvidence
,1004162,1000180,org.intermine.model.bio.GOEvidence
,1004169,1000180,org.intermine.model.bio.GOEvidence
,1004190,1000180,org.intermine.model.bio.GOEvidence
,1004193,1000180,org.intermine.model.bio.GOEvidence
,1004195,1000180,org.intermine.model.bio.GOEvidence
,1004197,1000180,org.intermine.model.bio.GOEvidence
,1004199,1000180,org.intermine.model.bio.GOEvidence
,1004214,1000180,org.intermine.model.bio.GOEvidence
,1004218,1000180,org.intermine.model.bio.GOEvidence
,1004274,1000180,org.intermine.model.bio.GOEvidence
,1004277,1000180,org.intermine.model.bio.GOEvidence
,1004288,1000180,org.intermine.model.bio.GOEvidence
,1004296,1000180,org.intermine.model.bio.GOEvidence
,1004299,1000180,org.intermine.model.bio.GOEvidence
,1004301,1000180,org.intermine.model.bio.GOEvidence
,1004312,1000180,org.intermine.model.bio.GOEvidence
,1004395,1000180,org.intermine.model.bio.GOEvidence
,1004399,1000180,org.intermine.model.bio.GOEvidence
,1004402,1000180,org.intermine.model.bio.GOEvidence
,1004428,1000180,org.intermine.model.bio.GOEvidence
,1004501,1000180,org.intermine.model.bio.GOEvidence
