identifier,obsolete,namespace,id,name,description,ontologyid,class
GO:0005789,,,1000181,,,,org.intermine.model.bio.GOTerm
GO:0005515,,,1000478,,,,org.intermine.model.bio.GOTerm
GO:0020003,,,1000589,,,,org.intermine.model.bio.GOTerm
GO:0009986,,,1000593,,,,org.intermine.model.bio.GOTerm
GO:0004671,,,1001049,,,,org.intermine.model.bio.GOTerm
GO:0006481,,,1001053,,,,org.intermine.model.bio.GOTerm
GO:0016021,,,1001056,,,,org.intermine.model.bio.GOTerm
GO:0008270,,,1001088,,,,org.intermine.model.bio.GOTerm
GO:0050662,,,1001100,,,,org.intermine.model.bio.GOTerm
GO:0003824,,,1001104,,,,org.intermine.model.bio.GOTerm
GO:0044237,,,1001107,,,,org.intermine.model.bio.GOTerm
GO:0005622,,,1001142,,,,org.intermine.model.bio.GOTerm
GO:0006508,,,1001165,,,,org.intermine.model.bio.GOTerm
GO:0004194,,,1001169,,,,org.intermine.model.bio.GOTerm
GO:0003735,,,1001176,,,,org.intermine.model.bio.GOTerm
GO:0005840,,,1001180,,,,org.intermine.model.bio.GOTerm
GO:0006412,,,1001183,,,,org.intermine.model.bio.GOTerm
GO:0003682,,,1001218,,,,org.intermine.model.bio.GOTerm
GO:0005634,,,1001223,,,,org.intermine.model.bio.GOTerm
GO:0000785,,,1001226,,,,org.intermine.model.bio.GOTerm
GO:0006333,,,1001229,,,,org.intermine.model.bio.GOTerm
GO:0005488,,,1001251,,,,org.intermine.model.bio.GOTerm
GO:0030036,,,1001299,,,,org.intermine.model.bio.GOTerm
GO:0003779,,,1001303,,,,org.intermine.model.bio.GOTerm
GO:0005975,,,1001428,,,,org.intermine.model.bio.GOTerm
GO:0016868,,,1001432,,,,org.intermine.model.bio.GOTerm
GO:0006334,,,1001442,,,,org.intermine.model.bio.GOTerm
GO:0000786,,,1001448,,,,org.intermine.model.bio.GOTerm
GO:0003677,,,1001451,,,,org.intermine.model.bio.GOTerm
GO:0000166,,,1001458,,,,org.intermine.model.bio.GOTerm
GO:0003676,,,1001462,,,,org.intermine.model.bio.GOTerm
GO:0008121,,,1001479,,,,org.intermine.model.bio.GOTerm
GO:0006122,,,1001483,,,,org.intermine.model.bio.GOTerm
GO:0003711,,,1001494,,,,org.intermine.model.bio.GOTerm
GO:0006357,,,1001500,,,,org.intermine.model.bio.GOTerm
GO:0046488,,,1001600,,,,org.intermine.model.bio.GOTerm
GO:0016307,,,1001604,,,,org.intermine.model.bio.GOTerm
GO:0043565,,,1001621,,,,org.intermine.model.bio.GOTerm
GO:0003906,,,1001625,,,,org.intermine.model.bio.GOTerm
GO:0004519,,,1001630,,,,org.intermine.model.bio.GOTerm
GO:0051539,,,1001633,,,,org.intermine.model.bio.GOTerm
GO:0006284,,,1001636,,,,org.intermine.model.bio.GOTerm
GO:0006260,,,1001664,,,,org.intermine.model.bio.GOTerm
GO:0003689,,,1001668,,,,org.intermine.model.bio.GOTerm
GO:0005663,,,1001673,,,,org.intermine.model.bio.GOTerm
GO:0005524,,,1001676,,,,org.intermine.model.bio.GOTerm
GO:0006470,,,1001716,,,,org.intermine.model.bio.GOTerm
GO:0008138,,,1001720,,,,org.intermine.model.bio.GOTerm
GO:0008152,,,1001742,,,,org.intermine.model.bio.GOTerm
GO:0008746,,,1001745,,,,org.intermine.model.bio.GOTerm
GO:0009055,,,1001748,,,,org.intermine.model.bio.GOTerm
GO:0005680,,,1001793,,,,org.intermine.model.bio.GOTerm
GO:0030071,,,1001796,,,,org.intermine.model.bio.GOTerm
