protein,keywords
1000028,1000011
1000028,1000012
1000028,1000013
1000028,1000014
1000028,1000015
1000028,1000016
1000091,1000012
1000091,1000015
1000091,1000086
1000091,1000087
1000110,1000011
1000110,1000100
1000110,1000101
1000110,1000102
1000139,1000102
1000139,1000132
1000139,1000133
1000139,1000134
1000139,1000135
1000150,1000012
1000150,1000015
1000150,1000087
1000150,1000145
1000150,1000146
1000164,1000102
1000164,1000132
1000164,1000133
1000164,1000155
1000164,1000156
1000164,1000157
1000164,1000158
1000206,1000135
1000206,1000155
1000206,1000190
1000206,1000191
1000206,1000192
1000206,1000193
1000206,1000194
1000206,1000195
1000206,1000196
1000230,1000012
1000230,1000015
1000230,1000155
1000230,1000190
1000230,1000224
1000230,1000225
1000230,1000226
1000240,1000235
1000240,1000236
1000249,1000016
1000249,1000087
1000249,1000245
1000265,1000016
1000265,1000087
1000265,1000260
1000265,1000261
1000277,1000012
1000277,1000015
1000277,1000087
1000277,1000145
1000277,1000146
1000288,1000016
1000298,1000235
1000298,1000236
1000298,1000291
1000298,1000292
1000298,1000293
1000314,1000011
1000314,1000308
1000314,1000309
1000314,1000310
1000381,1000235
1000381,1000236
1000399,1000011
1000399,1000087
1000399,1000392
1000399,1000393
1000399,1000394
1000433,1000195
1000433,1000426
1000433,1000427
1000445,1000011
1000445,1000135
1000445,1000191
1000445,1000196
1000445,1000308
1000445,1000439
1000445,1000440
1000445,1000441
1000497,1000013
1000497,1000489
1000497,1000490
1000497,1000491
1000497,1000492
1000497,1000493
1000515,1000191
1000515,1000196
1000515,1000308
1000515,1000439
1000515,1000441
1000515,1000510
1000515,1000511
1000535,1000235
1000535,1000236
1000535,1000393
1000535,1000529
1000535,1000530
1000551,1000012
1000551,1000014
1000551,1000015
1000551,1000016
1000551,1000155
1000551,1000193
1000551,1000195
1000551,1000543
1000551,1000544
1000551,1000545
1000551,1000546
1000566,1000560
1000566,1000561
1000566,1000562
1000579,1000015
1000579,1000574
1000579,1000575
1000588,1000135
1000588,1000195
1000588,1000441
1000603,1000102
1000603,1000156
1000615,1000196
1000615,1000610
1000615,1000611
1000626,1000235
1000626,1000236
1000635,1000016
1000635,1000631
1000646,1000012
1000646,1000014
1000646,1000015
1000646,1000016
1000646,1000087
1000646,1000545
1000646,1000546
1000666,1000012
1000666,1000014
1000666,1000015
1000666,1000016
1000666,1000195
1000666,1000543
1000666,1000546
1000666,1000661
1000666,1000662
1000680,1000135
1000680,1000195
1000680,1000196
1000680,1000441
1000692,1000561
1000692,1000688
1000704,1000012
1000704,1000014
1000704,1000015
1000704,1000016
1000704,1000193
1000704,1000195
1000704,1000543
1000704,1000544
1000704,1000546
1000726,1000011
1000726,1000155
1000726,1000293
1000726,1000394
1000726,1000718
1000726,1000719
1000726,1000720
1000726,1000721
1000726,1000722
1000776,1000087
1000776,1000543
1000784,1000135
1000784,1000155
1000784,1000190
1000784,1000195
1000784,1000196
1000798,1000013
1000798,1000611
1000798,1000794
1000812,1000155
1000812,1000158
1000812,1000191
1000812,1000196
1000830,1000087
1000830,1000101
1000830,1000394
1000830,1000718
1000830,1000719
1000830,1000826
1000842,1000013
1000842,1000087
1000842,1000393
1000842,1000611
1000842,1000838
1000862,1000135
1000862,1000194
1000862,1000195
1000872,1000087
1000872,1000101
1000872,1000394
1000872,1000718
1000872,1000719
1000872,1000826
1000884,1000195
1000884,1000880
1000896,1000016
1000896,1000393
1000896,1000529
1000896,1000530
1000896,1000560
1000896,1000562
1000896,1000890
1000896,1000891
1000896,1000892
1000911,1000195
1000911,1000543
1000911,1000907
1000926,1000191
1000926,1000196
1000926,1000308
1000926,1000439
1000926,1000440
1000926,1000511
1000926,1000920
1000926,1000921
1000926,1000922
1000952,1000308
1000952,1000393
1000952,1000838
1000968,1000012
1000968,1000014
1000968,1000015
1000968,1000016
1000968,1000546
1000978,1000012
1000978,1000015
1000978,1000195
1000978,1000974
1000991,1000012
1000991,1000014
1000991,1000015
1000991,1000016
1000991,1000193
1000991,1000195
1000991,1000543
1000991,1000544
1000991,1000545
1000991,1000546
1000991,1000661
1000991,1000662
1001004,1000561
1001004,1000890
1001004,1000999
1001018,1000012
1001018,1000015
1001018,1000102
1001018,1000308
1001018,1001013
1001018,1001014
1001091,1000393
1001091,1000529
1001091,1000530
1001186,1000236
1001260,1000012
1001260,1000014
1001260,1000015
1001260,1000016
1001260,1000546
1001285,1001282
1001289,1000014
1001311,1000012
1001311,1000308
1001311,1001308
1001320,1000102
1001320,1000155
1001320,1000158
1001320,1000195
1001324,1000308
1001371,1000012
1001371,1000015
1001371,1000086
1001386,1000235
1001386,1001383
1001416,1001413
1001454,1000561
1001454,1000999
1001454,1001438
1001454,1001439
1001549,1000235
1001549,1000236
1001556,1000012
1001556,1000015
1001556,1001413
1001556,1001552
1001556,1001553
1001560,1000012
1001560,1000308
1001560,1001308
1001639,1000611
1001639,1001618
1001679,1000012
1001679,1000015
1001707,1000016
1001707,1001704
1001765,1000308
1001776,1001773
1001786,1000012
1001786,1000015
1001786,1000158
1001786,1000308
1001786,1000545
1001808,1000016
1001821,1000012
1001821,1000015
1001868,1000014
1001891,1000101
1001891,1000394
1001891,1000718
1001891,1000719
1001935,1000235
1001935,1000236
1001946,1000195
1001946,1001942
1001968,1000195
1001968,1001965
1001973,1000012
1001973,1000014
1001973,1000015
1001973,1000016
1001973,1000546
1002011,1000012
1002011,1000015
1002062,1000015
1002062,1000574
1002062,1002059
1002082,1000012
1002082,1000013
1002082,1000014
1002082,1000015
1002082,1000016
1002086,1000016
1002086,1000245
1002162,1001553
1002162,1002158
1002162,1002159
1002171,1000015
1002171,1000574
1002208,1002205
