intermine_value,id,subjectid,class
TCP-1-eta,1000094,1000091,org.intermine.model.bio.Synonym
CCT-eta,1000095,1000091,org.intermine.model.bio.Synonym
Trx,1000127,1000110,org.intermine.model.bio.Synonym
41-2 protein antigen,1000141,1000139,org.intermine.model.bio.Synonym
Actin I,1000152,1000150,org.intermine.model.bio.Synonym
Q9TY97,1000217,1000206,org.intermine.model.bio.Synonym
MSA-2,1000218,1000206,org.intermine.model.bio.Synonym
45 kDa merozoite surface antigen,1000219,1000206,org.intermine.model.bio.Synonym
PfM-A,1000232,1000230,org.intermine.model.bio.Synonym
Peptide N-myristoyltransferase,1000251,1000249,org.intermine.model.bio.Synonym
Myristoyl-CoA:protein N-myristoyltransferase,1000252,1000249,org.intermine.model.bio.Synonym
NMT,1000253,1000249,org.intermine.model.bio.Synonym
Q9GQI3,1000268,1000265,org.intermine.model.bio.Synonym
Ornithine--oxo-acid aminotransferase,1000269,1000265,org.intermine.model.bio.Synonym
Actin II,1000279,1000277,org.intermine.model.bio.Synonym
Q7K6A6,1000370,1000314,org.intermine.model.bio.Synonym
Q8MUG1,1000371,1000314,org.intermine.model.bio.Synonym
AdoHcyase,1000372,1000314,org.intermine.model.bio.Synonym
S-adenosyl-L-homocysteine hydrolase,1000373,1000314,org.intermine.model.bio.Synonym
PfSAHH,1000374,1000314,org.intermine.model.bio.Synonym
FeSOD,1000422,1000399,org.intermine.model.bio.Synonym
p126,1000482,1000445,org.intermine.model.bio.Synonym
111 kDa antigen,1000483,1000445,org.intermine.model.bio.Synonym
TIM,1000503,1000497,org.intermine.model.bio.Synonym
Triose-phosphate isomerase,1000504,1000497,org.intermine.model.bio.Synonym
Aspartic hemoglobinase I,1000525,1000515,org.intermine.model.bio.Synonym
PfAPG,1000526,1000515,org.intermine.model.bio.Synonym
Q27731,1000557,1000551,org.intermine.model.bio.Synonym
RNA polymerase II subunit B11,1000568,1000566,org.intermine.model.bio.Synonym
DNA-directed RNA polymerase II subunit J,1000569,1000566,org.intermine.model.bio.Synonym
Beta-tubulin,1000581,1000579,org.intermine.model.bio.Synonym
p101,1000596,1000588,org.intermine.model.bio.Synonym
Acidic basic repeat antigen,1000597,1000588,org.intermine.model.bio.Synonym
VPS26 protein homolog,1000605,1000603,org.intermine.model.bio.Synonym
O96178,1000618,1000615,org.intermine.model.bio.Synonym
MECDP-synthase,1000619,1000615,org.intermine.model.bio.Synonym
MECPS,1000620,1000615,org.intermine.model.bio.Synonym
PK5,1000653,1000646,org.intermine.model.bio.Synonym
O77333,1000671,1000666,org.intermine.model.bio.Synonym
PfCDPK3,1000672,1000666,org.intermine.model.bio.Synonym
Q8IJ57,1000685,1000680,org.intermine.model.bio.Synonym
U3 snoRNA-associated protein 11,1000694,1000692,org.intermine.model.bio.Synonym
PfCDPK2,1000711,1000704,org.intermine.model.bio.Synonym
Q6LFN3,1000768,1000726,org.intermine.model.bio.Synonym
DHOdehase,1000769,1000726,org.intermine.model.bio.Synonym
Dihydroorotate oxidase,1000770,1000726,org.intermine.model.bio.Synonym
TCTP,1000778,1000776,org.intermine.model.bio.Synonym
Q08372,1000789,1000784,org.intermine.model.bio.Synonym
TrxR,1000833,1000830,org.intermine.model.bio.Synonym
2-phosphoglycerate dehydratase,1000854,1000842,org.intermine.model.bio.Synonym
2-phospho-D-glycerate hydro-lyase,1000855,1000842,org.intermine.model.bio.Synonym
GBP-130,1000864,1000862,org.intermine.model.bio.Synonym
GRase,1000875,1000872,org.intermine.model.bio.Synonym
GR,1000876,1000872,org.intermine.model.bio.Synonym
ANP32/acidic nuclear phosphoprotein-like protein,1000886,1000884,org.intermine.model.bio.Synonym
DNA primase 53 kDa subunit,1000901,1000896,org.intermine.model.bio.Synonym
CaM,1000915,1000911,org.intermine.model.bio.Synonym
Pyrophosphate phospho-hydrolase,1000959,1000952,org.intermine.model.bio.Synonym
PPase,1000960,1000952,org.intermine.model.bio.Synonym
Q8IBY0,1000980,1000978,org.intermine.model.bio.Synonym
PCNA,1001006,1001004,org.intermine.model.bio.Synonym
Cyclin,1001007,1001004,org.intermine.model.bio.Synonym
V-ATPase subunit A,1001020,1001018,org.intermine.model.bio.Synonym
Vacuolar proton pump subunit alpha,1001021,1001018,org.intermine.model.bio.Synonym
V-ATPase 69 kDa subunit,1001022,1001018,org.intermine.model.bio.Synonym
MAL1P2.14,1001037,1001036,org.intermine.model.bio.Synonym
O77319,1001261,1001260,org.intermine.model.bio.Synonym
PFC0105w,1001262,1001260,org.intermine.model.bio.Synonym
RIF,1001276,1001275,org.intermine.model.bio.Synonym
PFC0285c,1001372,1001371,org.intermine.model.bio.Synonym
MAL1P2.18,1001512,1001511,org.intermine.model.bio.Synonym
RIF,1001521,1001520,org.intermine.model.bio.Synonym
PFC0230c,1001616,1001615,org.intermine.model.bio.Synonym
PFE0040c,1001660,1001659,org.intermine.model.bio.Synonym
PF08_0105,1001689,1001688,org.intermine.model.bio.Synonym
PFC0950c,1001766,1001765,org.intermine.model.bio.Synonym
MAL1P2.31,1001777,1001776,org.intermine.model.bio.Synonym
PFC0145c,1001896,1001895,org.intermine.model.bio.Synonym
PFC0905c,1001905,1001904,org.intermine.model.bio.Synonym
PF13_0305,1002063,1002062,org.intermine.model.bio.Synonym
MAL1P2.22,1002087,1002086,org.intermine.model.bio.Synonym
PFC0635c,1002163,1002162,org.intermine.model.bio.Synonym
pfpp5,1002243,1002242,org.intermine.model.bio.Synonym
RIF,1002316,1002315,org.intermine.model.bio.Synonym
VAR,1002367,1002366,org.intermine.model.bio.Synonym
PFC0270w,1002446,1002445,org.intermine.model.bio.Synonym
MAL1P2.23,1002582,1002581,org.intermine.model.bio.Synonym
PFC0855w,1002705,1002704,org.intermine.model.bio.Synonym
PFC0940c,1002817,1002816,org.intermine.model.bio.Synonym
MAL1P2.32,1002828,1002827,org.intermine.model.bio.Synonym
O77311,1002909,1002908,org.intermine.model.bio.Synonym
PFC0120w,1002910,1002908,org.intermine.model.bio.Synonym
PFC0900w,1002919,1002918,org.intermine.model.bio.Synonym
MAL1P1.4,1002929,1002928,org.intermine.model.bio.Synonym
PF08_0001,1002973,1002972,org.intermine.model.bio.Synonym
PFC0262c,1003057,1003056,org.intermine.model.bio.Synonym
PFC0450w,1003062,1003061,org.intermine.model.bio.Synonym
PFC0680w,1003071,1003070,org.intermine.model.bio.Synonym
RIF,1003091,1003090,org.intermine.model.bio.Synonym
MAL1P1.60,1003192,1003191,org.intermine.model.bio.Synonym
RIF,1003201,1003200,org.intermine.model.bio.Synonym
RIF,1003245,1003244,org.intermine.model.bio.Synonym
PFC1045c,1003323,1003322,org.intermine.model.bio.Synonym
osjnbb0086g13.2,1003333,1003332,org.intermine.model.bio.Synonym
MAL1P1.71,1003353,1003352,org.intermine.model.bio.Synonym
PFC0075c,1003459,1003458,org.intermine.model.bio.Synonym
MAL1P2.24,1003469,1003468,org.intermine.model.bio.Synonym
PF13_0094,1003513,1003512,org.intermine.model.bio.Synonym
Phat198,1003514,1003512,org.intermine.model.bio.Synonym
PFC0910w,1003614,1003613,org.intermine.model.bio.Synonym
MAL3P7.52,1003730,1003729,org.intermine.model.bio.Synonym
PFC1105w,1003731,1003729,org.intermine.model.bio.Synonym
MAL1P2.33,1003753,1003752,org.intermine.model.bio.Synonym
PFC0540w,1003858,1003857,org.intermine.model.bio.Synonym
MAL1P2.02,1004093,1004092,org.intermine.model.bio.Synonym
PFC0925w,1004210,1004209,org.intermine.model.bio.Synonym
PFC0335c,1004324,1004323,org.intermine.model.bio.Synonym
PFC0580c,1004440,1004439,org.intermine.model.bio.Synonym
PFC0345w,1004555,1004554,org.intermine.model.bio.Synonym
MAL1P2.16,1004570,1004569,org.intermine.model.bio.Synonym
PFC0250c,1004678,1004677,org.intermine.model.bio.Synonym
PF07_0128,1004728,1004727,org.intermine.model.bio.Synonym
eba-175,1004729,1004727,org.intermine.model.bio.Synonym
PFC0865w,1004813,1004812,org.intermine.model.bio.Synonym
MAL1P2.05,1004834,1004833,org.intermine.model.bio.Synonym
PF13_0207,1004878,1004877,org.intermine.model.bio.Synonym
dxS,1004879,1004877,org.intermine.model.bio.Synonym
PFC0370w,1004931,1004930,org.intermine.model.bio.Synonym
PFC1055w,1004940,1004939,org.intermine.model.bio.Synonym
PF08_0103,1004977,1004976,org.intermine.model.bio.Synonym
MAL1P1.2,1005059,1005058,org.intermine.model.bio.Synonym
PFA0055c,1005060,1005058,org.intermine.model.bio.Synonym
PFC1090w,1005061,1005058,org.intermine.model.bio.Synonym
PF13_0363,1005068,1005067,org.intermine.model.bio.Synonym
RIF,1005069,1005067,org.intermine.model.bio.Synonym
VAR,1005134,1005133,org.intermine.model.bio.Synonym
PFA0740w,1005221,1005220,org.intermine.model.bio.Synonym
PFC0430w,1005446,1005445,org.intermine.model.bio.Synonym
MAL1P1.10,1005462,1005461,org.intermine.model.bio.Synonym
PFA0095c,1005463,1005461,org.intermine.model.bio.Synonym
PFE0025c,1005476,1005475,org.intermine.model.bio.Synonym
RIF,1005607,1005606,org.intermine.model.bio.Synonym
MAL3P6.28,1005744,1005743,org.intermine.model.bio.Synonym
MAL1P1.11a,1005766,1005765,org.intermine.model.bio.Synonym
PFA0105w,1005767,1005765,org.intermine.model.bio.Synonym
Phat128,1005821,1005820,org.intermine.model.bio.Synonym
PFC0060c,1005891,1005890,org.intermine.model.bio.Synonym
PFC0300c,1005900,1005899,org.intermine.model.bio.Synonym
ent1,1005951,1005950,org.intermine.model.bio.Synonym
nt1,1005952,1005950,org.intermine.model.bio.Synonym
MAL1P3.02,1006012,1006011,org.intermine.model.bio.Synonym
PFC0195w,1006017,1006016,org.intermine.model.bio.Synonym
MAL1P2.04,1006035,1006034,org.intermine.model.bio.Synonym
RIF,1006149,1006148,org.intermine.model.bio.Synonym
gbph2,1006207,1006206,org.intermine.model.bio.Synonym
PFC0290w,1006261,1006260,org.intermine.model.bio.Synonym
RIF,1006276,1006275,org.intermine.model.bio.Synonym
RIF,1006281,1006280,org.intermine.model.bio.Synonym
Phat117,1006320,1006319,org.intermine.model.bio.Synonym
STEVOR,1006381,1006380,org.intermine.model.bio.Synonym
PFC0725c,1006481,1006480,org.intermine.model.bio.Synonym
PFC0260w,1006493,1006492,org.intermine.model.bio.Synonym
MAL1P3.01,1006619,1006618,org.intermine.model.bio.Synonym
PFA0045c,1006743,1006742,org.intermine.model.bio.Synonym
RIF,1006744,1006742,org.intermine.model.bio.Synonym
PFC0735w,1006750,1006749,org.intermine.model.bio.Synonym
MAL1P4.13,1006772,1006771,org.intermine.model.bio.Synonym
MAL1P4.06b,1006901,1006900,org.intermine.model.bio.Synonym
PFC0650w,1006914,1006913,org.intermine.model.bio.Synonym
PF08_0141,1006944,1006943,org.intermine.model.bio.Synonym
PFC0690c,1007008,1007007,org.intermine.model.bio.Synonym
MAL1P1.23,1007041,1007040,org.intermine.model.bio.Synonym
PF07_0001,1007086,1007085,org.intermine.model.bio.Synonym
PFG0015c,1007087,1007085,org.intermine.model.bio.Synonym
PFC0490w,1007163,1007162,org.intermine.model.bio.Synonym
PFC0610c,1007173,1007172,org.intermine.model.bio.Synonym
PFC0720w,1007296,1007295,org.intermine.model.bio.Synonym
MAL1P2.07,1007317,1007316,org.intermine.model.bio.Synonym
RIF,1007326,1007325,org.intermine.model.bio.Synonym
PFC0995c,1007435,1007434,org.intermine.model.bio.Synonym
MAL1P1.40,1007454,1007453,org.intermine.model.bio.Synonym
MAL1P3.08,1007565,1007564,org.intermine.model.bio.Synonym
PFC0605w,1007570,1007569,org.intermine.model.bio.Synonym
PFC0040w,1007580,1007579,org.intermine.model.bio.Synonym
RIF,1007581,1007579,org.intermine.model.bio.Synonym
freD,1007593,1007592,org.intermine.model.bio.Synonym
PFD1220c,1007647,1007646,org.intermine.model.bio.Synonym
PFC0755c,1007720,1007719,org.intermine.model.bio.Synonym
PFC0885c,1007729,1007728,org.intermine.model.bio.Synonym
PF08_0132,1007798,1007797,org.intermine.model.bio.Synonym
PF13_0001,1007819,1007818,org.intermine.model.bio.Synonym
VAR,1007820,1007818,org.intermine.model.bio.Synonym
MAL1P2.42,1007896,1007895,org.intermine.model.bio.Synonym
PFC0390w,1007989,1007988,org.intermine.model.bio.Synonym
