secondaryidentifier,symbol,primaryidentifier,length,id,name,scoretype,score,chromosomeid,chromosomelocationid,organismid,proteinid,sequenceid,sequenceontologytermid,geneid,class
,,mRNA.46312,1401,2000008,,,,2000003,2000007,1000026,,5018974,2000009,2000005,org.intermine.model.bio.MRNA
,,mRNA.46317,7080,2000017,,,,2000003,2000016,1000026,,5018976,2000009,2000014,org.intermine.model.bio.MRNA
,,mRNA.46330,768,2000024,,,,2000003,2000023,1000026,,5018978,2000009,2000021,org.intermine.model.bio.MRNA
,,mRNA.46135,204,2000031,,,,2000003,2000030,1000026,,5018980,2000009,2000028,org.intermine.model.bio.MRNA
,,mRNA.46198,3258,2000038,,,,2000003,2000037,1000026,,5018982,2000009,2000035,org.intermine.model.bio.MRNA
,,mRNA.46347,432,2000047,,,,2000003,2000046,1000026,,5018984,2000009,2000044,org.intermine.model.bio.MRNA
,,mRNA.46353,489,2000054,,,,2000003,2000053,1000026,,5018986,2000009,2000051,org.intermine.model.bio.MRNA
,,mRNA.46414,4305,2000063,,,,2000003,2000062,1000026,,5018988,2000009,2000060,org.intermine.model.bio.MRNA
,,mRNA.46432,507,2000070,,,,2000003,2000069,1000026,,5018990,2000009,2000067,org.intermine.model.bio.MRNA
,,mRNA.46443,1086,2000087,,,,2000003,2000086,1000026,,5018992,2000009,2000084,org.intermine.model.bio.MRNA
,,mRNA.46733,612,2000112,,,,2000003,2000111,1000026,,5018994,2000009,2000109,org.intermine.model.bio.MRNA
,,mRNA.46739,567,2000121,,,,2000003,2000120,1000026,,5018996,2000009,2000118,org.intermine.model.bio.MRNA
,,mRNA.46755,1641,2000130,,,,2000003,2000129,1000026,,5018998,2000009,2000127,org.intermine.model.bio.MRNA
,,mRNA.46815,882,2000139,,,,2000003,2000138,1000026,,5019000,2000009,2000136,org.intermine.model.bio.MRNA
,,mRNA.46837,357,2000146,,,,2000003,2000145,1000026,,5019002,2000009,2000143,org.intermine.model.bio.MRNA
,,mRNA.46851,882,2000159,,,,2000003,2000158,1000026,,5019004,2000009,2000156,org.intermine.model.bio.MRNA
,,mRNA.46333,4170,2000168,,,,2000003,2000167,1000026,,5019006,2000009,2000165,org.intermine.model.bio.MRNA
,,mRNA.46122,1119,2000177,,,,2000003,2000176,1000026,,5019008,2000009,2000174,org.intermine.model.bio.MRNA
,,mRNA.46202,354,2000186,,,,2000003,2000185,1000026,,5019010,2000009,2000183,org.intermine.model.bio.MRNA
,,mRNA.46225,831,2000195,,,,2000003,2000194,1000026,,5019012,2000009,2000192,org.intermine.model.bio.MRNA
,,mRNA.46271,4419,2000204,,,,2000003,2000203,1000026,,5019014,2000009,2000201,org.intermine.model.bio.MRNA
,,mRNA.46375,2499,2000217,,,,2000003,2000216,1000026,,5019016,2000009,2000214,org.intermine.model.bio.MRNA
,,mRNA.46455,1200,2000226,,,,2000003,2000225,1000026,,5019018,2000009,2000223,org.intermine.model.bio.MRNA
,,mRNA.46467,462,2000235,,,,2000003,2000234,1000026,,5019020,2000009,2000232,org.intermine.model.bio.MRNA
,,mRNA.46478,4605,2000242,,,,2000003,2000241,1000026,,5019022,2000009,2000239,org.intermine.model.bio.MRNA
,,mRNA.46529,3459,2000251,,,,2000003,2000250,1000026,,5019024,2000009,2000248,org.intermine.model.bio.MRNA
,,mRNA.46550,675,2000264,,,,2000003,2000263,1000026,,5019026,2000009,2000261,org.intermine.model.bio.MRNA
,,mRNA.46557,699,2000271,,,,2000003,2000270,1000026,,5019028,2000009,2000268,org.intermine.model.bio.MRNA
,,mRNA.46560,969,2000278,,,,2000003,2000277,1000026,,5019030,2000009,2000275,org.intermine.model.bio.MRNA
,,mRNA.46729,4104,2000287,,,,2000003,2000286,1000026,,5019032,2000009,2000284,org.intermine.model.bio.MRNA
,,mRNA.46759,1755,2000294,,,,2000003,2000293,1000026,,5019034,2000009,2000291,org.intermine.model.bio.MRNA
,,mRNA.46831,633,2000303,,,,2000003,2000302,1000026,,5019036,2000009,2000300,org.intermine.model.bio.MRNA
,,mRNA.46325,1608,2000312,,,,2000003,2000311,1000026,,5019038,2000009,2000309,org.intermine.model.bio.MRNA
,,mRNA.46337,2136,2000319,,,,2000003,2000318,1000026,,5019040,2000009,2000316,org.intermine.model.bio.MRNA
,,mRNA.46169,1110,2000326,,,,2000003,2000325,1000026,,5019042,2000009,2000323,org.intermine.model.bio.MRNA
,,mRNA.46212,4704,2000335,,,,2000003,2000334,1000026,,5019044,2000009,2000332,org.intermine.model.bio.MRNA
,,mRNA.46220,1836,2000348,,,,2000003,2000347,1000026,,5019046,2000009,2000345,org.intermine.model.bio.MRNA
,,mRNA.46363,1035,2000359,,,,2000003,2000358,1000026,,5019048,2000009,2000356,org.intermine.model.bio.MRNA
,,mRNA.46379,1386,2000366,,,,2000003,2000365,1000026,,5019050,2000009,2000363,org.intermine.model.bio.MRNA
,,mRNA.46408,4236,2000375,,,,2000003,2000374,1000026,,5019052,2000009,2000372,org.intermine.model.bio.MRNA
,,mRNA.46461,468,2000382,,,,2000003,2000381,1000026,,5019054,2000009,2000379,org.intermine.model.bio.MRNA
,,mRNA.46521,921,2000391,,,,2000003,2000390,1000026,,5019056,2000009,2000388,org.intermine.model.bio.MRNA
,,mRNA.46564,501,2000408,,,,2000003,2000407,1000026,,5019058,2000009,2000405,org.intermine.model.bio.MRNA
,,mRNA.46581,1728,2000417,,,,2000003,2000416,1000026,,5019060,2000009,2000414,org.intermine.model.bio.MRNA
,,mRNA.46608,705,2000424,,,,2000003,2000423,1000026,,5019062,2000009,2000421,org.intermine.model.bio.MRNA
,,mRNA.46677,747,2000431,,,,2000003,2000430,1000026,,5019064,2000009,2000428,org.intermine.model.bio.MRNA
,,mRNA.46698,1305,2000438,,,,2000003,2000437,1000026,,5019066,2000009,2000435,org.intermine.model.bio.MRNA
,,mRNA.46710,5469,2000451,,,,2000003,2000450,1000026,,5019068,2000009,2000448,org.intermine.model.bio.MRNA
,,mRNA.46717,394,2000458,,,,2000003,2000457,1000026,,5019070,2000009,2000455,org.intermine.model.bio.MRNA
,,mRNA.46751,4668,2000465,,,,2000003,2000464,1000026,,5019072,2000009,2000462,org.intermine.model.bio.MRNA
,,mRNA.46772,2865,2000474,,,,2000003,2000473,1000026,,5019074,2000009,2000471,org.intermine.model.bio.MRNA
,,mRNA.46822,958,2000483,,,,2000003,2000482,1000026,,5019076,2000009,2000480,org.intermine.model.bio.MRNA
,,mRNA.46118,3984,2000490,,,,2000003,2000489,1000026,,5019078,2000009,2000487,org.intermine.model.bio.MRNA
,,mRNA.46129,1080,2000499,,,,2000003,2000498,1000026,,5019080,2000009,2000496,org.intermine.model.bio.MRNA
,,mRNA.46156,693,2000508,,,,2000003,2000507,1000026,,5019082,2000009,2000505,org.intermine.model.bio.MRNA
,,mRNA.46176,870,2000517,,,,2000003,2000516,1000026,,5019084,2000009,2000514,org.intermine.model.bio.MRNA
,,mRNA.46402,471,2000526,,,,2000003,2000525,1000026,,5019086,2000009,2000523,org.intermine.model.bio.MRNA
,,mRNA.46500,1971,2000539,,,,2000003,2000538,1000026,,5019088,2000009,2000536,org.intermine.model.bio.MRNA
,,mRNA.46518,540,2000546,,,,2000003,2000545,1000026,,5019090,2000009,2000543,org.intermine.model.bio.MRNA
,,mRNA.46572,453,2000553,,,,2000003,2000552,1000026,,5019092,2000009,2000550,org.intermine.model.bio.MRNA
