secondaryidentifier,symbol,primaryidentifier,length,id,name,scoretype,score,chromosomeid,geneid,chromosomelocationid,organismid,sequenceid,sequenceontologytermid,class
,,exon.64942,144,2048355,,,,2048348,2048350,2048354,1000026,5000003,2000012,org.intermine.model.bio.Exon
,,exon.64941,96,2048357,,,,2048348,2048350,2048356,1000026,5000004,2000012,org.intermine.model.bio.Exon
,,exon.64940,3729,2048359,,,,2048348,2048350,2048358,1000026,5000005,2000012,org.intermine.model.bio.Exon
,,exon.64938,72,2048361,,,,2048348,2048350,2048360,1000026,5000006,2000012,org.intermine.model.bio.Exon
,,exon.64939,81,2048363,,,,2048348,2048350,2048362,1000026,5000007,2000012,org.intermine.model.bio.Exon
,,exon.64962,558,2048370,,,,2048348,2048365,2048369,1000026,5000009,2000012,org.intermine.model.bio.Exon
,,exon.64971,5220,2048377,,,,2048348,2048372,2048376,1000026,5000011,2000012,org.intermine.model.bio.Exon
,,exon.64972,93,2048379,,,,2048348,2048372,2048378,1000026,5000012,2000012,org.intermine.model.bio.Exon
,,exon.64984,350,2048386,,,,2048348,2048381,2048385,1000026,5000014,2000012,org.intermine.model.bio.Exon
,,exon.64985,7342,2048388,,,,2048348,2048381,2048387,1000026,5000015,2000012,org.intermine.model.bio.Exon
,,exon.64776,996,2048395,,,,2048348,2048390,2048394,1000026,5000017,2000012,org.intermine.model.bio.Exon
,,exon.64777,57,2048397,,,,2048348,2048390,2048396,1000026,5000018,2000012,org.intermine.model.bio.Exon
,,exon.65079,348,2048404,,,,2048348,2048399,2048403,1000026,5000020,2000012,org.intermine.model.bio.Exon
,,exon.65080,744,2048406,,,,2048348,2048399,2048405,1000026,5000021,2000012,org.intermine.model.bio.Exon
,,exon.65095,2769,2048413,,,,2048348,2048408,2048412,1000026,5000023,2000012,org.intermine.model.bio.Exon
,,exon.65112,576,2048420,,,,2048348,2048415,2048419,1000026,5000025,2000012,org.intermine.model.bio.Exon
,,exon.65129,68,2048427,,,,2048348,2048422,2048426,1000026,5000027,2000012,org.intermine.model.bio.Exon
,,exon.65127,55,2048429,,,,2048348,2048422,2048428,1000026,5000028,2000012,org.intermine.model.bio.Exon
,,exon.65130,75,2048431,,,,2048348,2048422,2048430,1000026,5000029,2000012,org.intermine.model.bio.Exon
,,exon.65128,110,2048433,,,,2048348,2048422,2048432,1000026,5000030,2000012,org.intermine.model.bio.Exon
,,exon.65131,844,2048435,,,,2048348,2048422,2048434,1000026,5000031,2000012,org.intermine.model.bio.Exon
,,exon.65138,361,2048442,,,,2048348,2048437,2048441,1000026,5000033,2000012,org.intermine.model.bio.Exon
,,exon.65136,3920,2048444,,,,2048348,2048437,2048443,1000026,5000034,2000012,org.intermine.model.bio.Exon
,,exon.65140,142,2048446,,,,2048348,2048437,2048445,1000026,5000035,2000012,org.intermine.model.bio.Exon
,,exon.65137,74,2048448,,,,2048348,2048437,2048447,1000026,5000036,2000012,org.intermine.model.bio.Exon
,,exon.65139,54,2048450,,,,2048348,2048437,2048449,1000026,5000037,2000012,org.intermine.model.bio.Exon
,,exon.65553,1498,2048457,,,,2048348,2048452,2048456,1000026,5000039,2000012,org.intermine.model.bio.Exon
,,exon.65554,6023,2048459,,,,2048348,2048452,2048458,1000026,5000040,2000012,org.intermine.model.bio.Exon
,,exon.65564,83,2048466,,,,2048348,2048461,2048465,1000026,5000042,2000012,org.intermine.model.bio.Exon
,,exon.65557,112,2048468,,,,2048348,2048461,2048467,1000026,5000043,2000012,org.intermine.model.bio.Exon
,,exon.65563,103,2048470,,,,2048348,2048461,2048469,1000026,5000044,2000012,org.intermine.model.bio.Exon
,,exon.65559,94,2048472,,,,2048348,2048461,2048471,1000026,5000045,2000012,org.intermine.model.bio.Exon
,,exon.65558,166,2048474,,,,2048348,2048461,2048473,1000026,5000046,2000012,org.intermine.model.bio.Exon
,,exon.65560,68,2048476,,,,2048348,2048461,2048475,1000026,5000047,2000012,org.intermine.model.bio.Exon
,,exon.65565,106,2048478,,,,2048348,2048461,2048477,1000026,5000048,2000012,org.intermine.model.bio.Exon
,,exon.65562,146,2048480,,,,2048348,2048461,2048479,1000026,5000049,2000012,org.intermine.model.bio.Exon
,,exon.65561,19,2048482,,,,2048348,2048461,2048481,1000026,5000050,2000012,org.intermine.model.bio.Exon
,,exon.65577,999,2048489,,,,2048348,2048484,2048488,1000026,5000052,2000012,org.intermine.model.bio.Exon
,,exon.66354,1713,2048496,,,,2048348,2048491,2048495,1000026,5000054,2000012,org.intermine.model.bio.Exon
,,exon.65613,76,2048503,,,,2048348,2048498,2048502,1000026,5000056,2000012,org.intermine.model.bio.Exon
,,exon.65614,1883,2048505,,,,2048348,2048498,2048504,1000026,5000057,2000012,org.intermine.model.bio.Exon
,,exon.66012,78,2048512,,,,2048348,2048507,2048511,1000026,5000059,2000012,org.intermine.model.bio.Exon
,,exon.66010,75,2048514,,,,2048348,2048507,2048513,1000026,5000060,2000012,org.intermine.model.bio.Exon
,,exon.66008,67,2048516,,,,2048348,2048507,2048515,1000026,5000061,2000012,org.intermine.model.bio.Exon
,,exon.66009,81,2048518,,,,2048348,2048507,2048517,1000026,5000062,2000012,org.intermine.model.bio.Exon
,,exon.66011,53,2048520,,,,2048348,2048507,2048519,1000026,5000063,2000012,org.intermine.model.bio.Exon
,,exon.66032,108,2048527,,,,2048348,2048522,2048526,1000026,5000065,2000012,org.intermine.model.bio.Exon
,,exon.66031,104,2048529,,,,2048348,2048522,2048528,1000026,5000066,2000012,org.intermine.model.bio.Exon
,,exon.66034,68,2048531,,,,2048348,2048522,2048530,1000026,5000067,2000012,org.intermine.model.bio.Exon
,,exon.66033,3554,2048533,,,,2048348,2048522,2048532,1000026,5000068,2000012,org.intermine.model.bio.Exon
,,exon.66411,4539,2048540,,,,2048348,2048535,2048539,1000026,5000070,2000012,org.intermine.model.bio.Exon
,,exon.66421,2208,2048547,,,,2048348,2048542,2048546,1000026,5000072,2000012,org.intermine.model.bio.Exon
,,exon.66440,438,2048554,,,,2048348,2048549,2048553,1000026,5000074,2000012,org.intermine.model.bio.Exon
,,exon.65194,1681,2048561,,,,2048348,2048556,2048560,1000026,5000076,2000012,org.intermine.model.bio.Exon
,,exon.65195,92,2048563,,,,2048348,2048556,2048562,1000026,5000077,2000012,org.intermine.model.bio.Exon
,,exon.65215,1230,2048570,,,,2048348,2048565,2048569,1000026,5000079,2000012,org.intermine.model.bio.Exon
,,exon.65216,180,2048572,,,,2048348,2048565,2048571,1000026,5000080,2000012,org.intermine.model.bio.Exon
,,exon.65676,704,2048579,,,,2048348,2048574,2048578,1000026,5000082,2000012,org.intermine.model.bio.Exon
,,exon.65677,53,2048581,,,,2048348,2048574,2048580,1000026,5000083,2000012,org.intermine.model.bio.Exon
,,exon.65675,53,2048583,,,,2048348,2048574,2048582,1000026,5000084,2000012,org.intermine.model.bio.Exon
,,exon.66064,5769,2048590,,,,2048348,2048585,2048589,1000026,5000086,2000012,org.intermine.model.bio.Exon
,,exon.65236,1556,2048597,,,,2048348,2048592,2048596,1000026,5000088,2000012,org.intermine.model.bio.Exon
,,exon.65237,150,2048599,,,,2048348,2048592,2048598,1000026,5000089,2000012,org.intermine.model.bio.Exon
,,exon.65235,109,2048601,,,,2048348,2048592,2048600,1000026,5000090,2000012,org.intermine.model.bio.Exon
,,exon.65245,133,2048608,,,,2048348,2048603,2048607,1000026,5000092,2000012,org.intermine.model.bio.Exon
,,exon.65243,71,2048610,,,,2048348,2048603,2048609,1000026,5000093,2000012,org.intermine.model.bio.Exon
,,exon.65244,174,2048612,,,,2048348,2048603,2048611,1000026,5000094,2000012,org.intermine.model.bio.Exon
,,exon.65257,60,2048619,,,,2048348,2048614,2048618,1000026,5000096,2000012,org.intermine.model.bio.Exon
,,exon.65259,64,2048621,,,,2048348,2048614,2048620,1000026,5000097,2000012,org.intermine.model.bio.Exon
,,exon.65255,124,2048623,,,,2048348,2048614,2048622,1000026,5000098,2000012,org.intermine.model.bio.Exon
,,exon.65254,79,2048625,,,,2048348,2048614,2048624,1000026,5000099,2000012,org.intermine.model.bio.Exon
,,exon.65256,2978,2048627,,,,2048348,2048614,2048626,1000026,5000100,2000012,org.intermine.model.bio.Exon
,,exon.65260,230,2048629,,,,2048348,2048614,2048628,1000026,5000101,2000012,org.intermine.model.bio.Exon
