intermine_start,intermine_end,strand,id,featureid,locatedonid,class
183057,184457,-1,2000004,2000005,2000003,org.intermine.model.bio.Location
183057,184457,1,2000007,2000008,2000003,org.intermine.model.bio.Location
183057,184457,-1,2000010,2000011,2000003,org.intermine.model.bio.Location
190507,197586,1,2000013,2000014,2000003,org.intermine.model.bio.Location
190507,197586,1,2000016,2000017,2000003,org.intermine.model.bio.Location
190507,197586,1,2000018,2000019,2000003,org.intermine.model.bio.Location
204860,205627,-1,2000020,2000021,2000003,org.intermine.model.bio.Location
204860,205627,1,2000023,2000024,2000003,org.intermine.model.bio.Location
204860,205627,-1,2000025,2000026,2000003,org.intermine.model.bio.Location
56913,57116,-1,2000027,2000028,2000003,org.intermine.model.bio.Location
56913,57116,1,2000030,2000031,2000003,org.intermine.model.bio.Location
56913,57116,-1,2000032,2000033,2000003,org.intermine.model.bio.Location
99052,102515,1,2000034,2000035,2000003,org.intermine.model.bio.Location
99052,102515,1,2000037,2000038,2000003,org.intermine.model.bio.Location
99052,99246,1,2000039,2000040,2000003,org.intermine.model.bio.Location
99453,102515,1,2000041,2000042,2000003,org.intermine.model.bio.Location
221440,221871,1,2000043,2000044,2000003,org.intermine.model.bio.Location
221440,221871,1,2000046,2000047,2000003,org.intermine.model.bio.Location
221440,221871,1,2000048,2000049,2000003,org.intermine.model.bio.Location
225348,226017,-1,2000050,2000051,2000003,org.intermine.model.bio.Location
225348,226017,1,2000053,2000054,2000003,org.intermine.model.bio.Location
225348,225820,-1,2000055,2000056,2000003,org.intermine.model.bio.Location
226002,226017,-1,2000057,2000058,2000003,org.intermine.model.bio.Location
281370,285674,1,2000059,2000060,2000003,org.intermine.model.bio.Location
281370,285674,1,2000062,2000063,2000003,org.intermine.model.bio.Location
281370,285674,1,2000064,2000065,2000003,org.intermine.model.bio.Location
293860,295186,1,2000066,2000067,2000003,org.intermine.model.bio.Location
293860,295186,1,2000069,2000070,2000003,org.intermine.model.bio.Location
293860,293983,1,2000071,2000072,2000003,org.intermine.model.bio.Location
294178,294245,1,2000073,2000074,2000003,org.intermine.model.bio.Location
294468,294554,1,2000075,2000076,2000003,org.intermine.model.bio.Location
294651,294731,1,2000077,2000078,2000003,org.intermine.model.bio.Location
294928,294987,1,2000079,2000080,2000003,org.intermine.model.bio.Location
295100,295186,1,2000081,2000082,2000003,org.intermine.model.bio.Location
297429,299611,1,2000083,2000084,2000003,org.intermine.model.bio.Location
297429,299611,1,2000086,2000087,2000003,org.intermine.model.bio.Location
297429,297470,1,2000088,2000089,2000003,org.intermine.model.bio.Location
297580,297753,1,2000090,2000091,2000003,org.intermine.model.bio.Location
297858,297957,1,2000092,2000093,2000003,org.intermine.model.bio.Location
298133,298206,1,2000094,2000095,2000003,org.intermine.model.bio.Location
298328,298402,1,2000096,2000097,2000003,org.intermine.model.bio.Location
298515,298816,1,2000098,2000099,2000003,org.intermine.model.bio.Location
298908,298953,1,2000100,2000101,2000003,org.intermine.model.bio.Location
299064,299141,1,2000102,2000103,2000003,org.intermine.model.bio.Location
299277,299395,1,2000104,2000105,2000003,org.intermine.model.bio.Location
299536,299611,1,2000106,2000107,2000003,org.intermine.model.bio.Location
482958,483767,-1,2000108,2000109,2000003,org.intermine.model.bio.Location
482958,483767,1,2000111,2000112,2000003,org.intermine.model.bio.Location
482958,483468,-1,2000113,2000114,2000003,org.intermine.model.bio.Location
483667,483767,-1,2000115,2000116,2000003,org.intermine.model.bio.Location
487649,488335,1,2000117,2000118,2000003,org.intermine.model.bio.Location
487649,488335,1,2000120,2000121,2000003,org.intermine.model.bio.Location
487649,487735,1,2000122,2000123,2000003,org.intermine.model.bio.Location
487856,488335,1,2000124,2000125,2000003,org.intermine.model.bio.Location
502108,504017,-1,2000126,2000127,2000003,org.intermine.model.bio.Location
502108,504017,1,2000129,2000130,2000003,org.intermine.model.bio.Location
502108,503658,-1,2000131,2000132,2000003,org.intermine.model.bio.Location
503928,504017,-1,2000133,2000134,2000003,org.intermine.model.bio.Location
555770,556651,-1,2000135,2000136,2000003,org.intermine.model.bio.Location
555770,556651,1,2000138,2000139,2000003,org.intermine.model.bio.Location
555770,556651,-1,2000140,2000141,2000003,org.intermine.model.bio.Location
573708,574404,1,2000142,2000143,2000003,org.intermine.model.bio.Location
573708,574404,1,2000145,2000146,2000003,org.intermine.model.bio.Location
573708,573752,1,2000147,2000148,2000003,org.intermine.model.bio.Location
573870,573902,1,2000149,2000150,2000003,org.intermine.model.bio.Location
574074,574099,1,2000151,2000152,2000003,org.intermine.model.bio.Location
574152,574404,1,2000153,2000154,2000003,org.intermine.model.bio.Location
589111,590114,1,2000155,2000156,2000003,org.intermine.model.bio.Location
589111,590114,1,2000158,2000159,2000003,org.intermine.model.bio.Location
589111,589203,1,2000160,2000161,2000003,org.intermine.model.bio.Location
589326,590114,1,2000162,2000163,2000003,org.intermine.model.bio.Location
206408,210963,1,2000164,2000165,2000003,org.intermine.model.bio.Location
206408,210963,1,2000167,2000168,2000003,org.intermine.model.bio.Location
206408,210423,1,2000169,2000170,2000003,org.intermine.model.bio.Location
210810,210963,1,2000171,2000172,2000003,org.intermine.model.bio.Location
50586,51859,1,2000173,2000174,2000003,org.intermine.model.bio.Location
50586,51859,1,2000176,2000177,2000003,org.intermine.model.bio.Location
50586,50639,1,2000178,2000179,2000003,org.intermine.model.bio.Location
50795,51859,1,2000180,2000181,2000003,org.intermine.model.bio.Location
104936,105441,1,2000182,2000183,2000003,org.intermine.model.bio.Location
104936,105441,1,2000185,2000186,2000003,org.intermine.model.bio.Location
104936,105007,1,2000187,2000188,2000003,org.intermine.model.bio.Location
105160,105441,1,2000189,2000190,2000003,org.intermine.model.bio.Location
124752,125719,1,2000191,2000192,2000003,org.intermine.model.bio.Location
124752,125719,1,2000194,2000195,2000003,org.intermine.model.bio.Location
124752,124823,1,2000196,2000197,2000003,org.intermine.model.bio.Location
124961,125719,1,2000198,2000199,2000003,org.intermine.model.bio.Location
161365,166464,1,2000200,2000201,2000003,org.intermine.model.bio.Location
161365,166464,1,2000203,2000204,2000003,org.intermine.model.bio.Location
161365,161809,1,2000205,2000206,2000003,org.intermine.model.bio.Location
161997,165517,1,2000207,2000208,2000003,org.intermine.model.bio.Location
165788,166043,1,2000209,2000210,2000003,org.intermine.model.bio.Location
166268,166464,1,2000211,2000212,2000003,org.intermine.model.bio.Location
249470,252249,-1,2000213,2000214,2000003,org.intermine.model.bio.Location
249470,252249,1,2000216,2000217,2000003,org.intermine.model.bio.Location
249470,250605,-1,2000218,2000219,2000003,org.intermine.model.bio.Location
250887,252249,-1,2000220,2000221,2000003,org.intermine.model.bio.Location
299776,301082,-1,2000222,2000223,2000003,org.intermine.model.bio.Location
299776,301082,1,2000225,2000226,2000003,org.intermine.model.bio.Location
299776,300306,-1,2000227,2000228,2000003,org.intermine.model.bio.Location
300414,301082,-1,2000229,2000230,2000003,org.intermine.model.bio.Location
304091,304552,1,2000231,2000232,2000003,org.intermine.model.bio.Location
304091,304552,1,2000234,2000235,2000003,org.intermine.model.bio.Location
304091,304552,1,2000236,2000237,2000003,org.intermine.model.bio.Location
315774,320559,1,2000238,2000239,2000003,org.intermine.model.bio.Location
315774,320559,1,2000241,2000242,2000003,org.intermine.model.bio.Location
315774,318856,1,2000243,2000244,2000003,org.intermine.model.bio.Location
319038,320559,1,2000245,2000246,2000003,org.intermine.model.bio.Location
353467,357364,-1,2000247,2000248,2000003,org.intermine.model.bio.Location
353467,357364,1,2000250,2000251,2000003,org.intermine.model.bio.Location
353467,353509,-1,2000252,2000253,2000003,org.intermine.model.bio.Location
353612,353693,-1,2000254,2000255,2000003,org.intermine.model.bio.Location
353836,353968,-1,2000256,2000257,2000003,org.intermine.model.bio.Location
354164,357364,-1,2000258,2000259,2000003,org.intermine.model.bio.Location
364471,365145,1,2000260,2000261,2000003,org.intermine.model.bio.Location
364471,365145,1,2000263,2000264,2000003,org.intermine.model.bio.Location
364471,365145,1,2000265,2000266,2000003,org.intermine.model.bio.Location
370633,371331,-1,2000267,2000268,2000003,org.intermine.model.bio.Location
370633,371331,1,2000270,2000271,2000003,org.intermine.model.bio.Location
370633,371331,-1,2000272,2000273,2000003,org.intermine.model.bio.Location
372968,374165,-1,2000274,2000275,2000003,org.intermine.model.bio.Location
372968,374165,1,2000277,2000278,2000003,org.intermine.model.bio.Location
372968,373799,-1,2000279,2000280,2000003,org.intermine.model.bio.Location
374029,374165,-1,2000281,2000282,2000003,org.intermine.model.bio.Location
478428,482531,1,2000283,2000284,2000003,org.intermine.model.bio.Location
478428,482531,1,2000286,2000287,2000003,org.intermine.model.bio.Location
478428,482531,1,2000288,2000289,2000003,org.intermine.model.bio.Location
506087,508023,-1,2000290,2000291,2000003,org.intermine.model.bio.Location
506087,508023,1,2000293,2000294,2000003,org.intermine.model.bio.Location
506087,507730,-1,2000295,2000296,2000003,org.intermine.model.bio.Location
507913,508023,-1,2000297,2000298,2000003,org.intermine.model.bio.Location
571206,571993,-1,2000299,2000300,2000003,org.intermine.model.bio.Location
571206,571993,1,2000302,2000303,2000003,org.intermine.model.bio.Location
571206,571769,-1,2000304,2000305,2000003,org.intermine.model.bio.Location
571925,571993,-1,2000306,2000307,2000003,org.intermine.model.bio.Location
202774,204381,1,2000308,2000309,2000003,org.intermine.model.bio.Location
202774,204381,1,2000311,2000312,2000003,org.intermine.model.bio.Location
202774,204381,1,2000313,2000314,2000003,org.intermine.model.bio.Location
211108,213243,1,2000315,2000316,2000003,org.intermine.model.bio.Location
211108,213243,1,2000318,2000319,2000003,org.intermine.model.bio.Location
211108,213243,1,2000320,2000321,2000003,org.intermine.model.bio.Location
81998,83339,-1,2000322,2000323,2000003,org.intermine.model.bio.Location
81998,83339,1,2000325,2000326,2000003,org.intermine.model.bio.Location
81998,83053,-1,2000327,2000328,2000003,org.intermine.model.bio.Location
83286,83339,-1,2000329,2000330,2000003,org.intermine.model.bio.Location
110984,116033,-1,2000331,2000332,2000003,org.intermine.model.bio.Location
110984,116033,1,2000334,2000335,2000003,org.intermine.model.bio.Location
110984,111057,-1,2000336,2000337,2000003,org.intermine.model.bio.Location
111196,111284,-1,2000338,2000339,2000003,org.intermine.model.bio.Location
111401,111479,-1,2000340,2000341,2000003,org.intermine.model.bio.Location
111572,116033,-1,2000342,2000343,2000003,org.intermine.model.bio.Location
119275,121648,-1,2000344,2000345,2000003,org.intermine.model.bio.Location
119275,121648,1,2000347,2000348,2000003,org.intermine.model.bio.Location
119275,119355,-1,2000349,2000350,2000003,org.intermine.model.bio.Location
119506,121205,-1,2000351,2000352,2000003,org.intermine.model.bio.Location
121594,121648,-1,2000353,2000354,2000003,org.intermine.model.bio.Location
228724,229758,-1,2000355,2000356,2000003,org.intermine.model.bio.Location
228724,229758,1,2000358,2000359,2000003,org.intermine.model.bio.Location
228724,229758,-1,2000360,2000361,2000003,org.intermine.model.bio.Location
253399,255169,1,2000362,2000363,2000003,org.intermine.model.bio.Location
253399,255169,1,2000365,2000366,2000003,org.intermine.model.bio.Location
253399,253447,1,2000367,2000368,2000003,org.intermine.model.bio.Location
253833,255169,1,2000369,2000370,2000003,org.intermine.model.bio.Location
274530,278765,1,2000371,2000372,2000003,org.intermine.model.bio.Location
274530,278765,1,2000374,2000375,2000003,org.intermine.model.bio.Location
274530,278765,1,2000376,2000377,2000003,org.intermine.model.bio.Location
