secondaryidentifier,symbol,primaryidentifier,length,id,name,scoretype,score,chromosomeid,chromosomelocationid,organismid,sequenceid,sequenceontologytermid,class
gene.59012,,PFE1050w,1440,1000369,,,,2035638,2037707,1000026,5017860,1000081,org.intermine.model.bio.Gene
gene.58548,TCTP,PFE0545c,516,1000777,,,,2035638,2037654,1000026,5017861,1000081,org.intermine.model.bio.Gene
,,MAL3P3.6,,1000093,,,,,,1000026,,1000081,org.intermine.model.bio.Gene
gene.59424,,PFE1445c,2160,1000822,,,,2035638,2036675,1000026,5017862,1000081,org.intermine.model.bio.Gene
gene.58299,,PFE0290c,1255,2035640,,,,2035638,2035639,1000026,5017863,1000081,org.intermine.model.bio.Gene
,,exon.58301,99,2035645,,,,2035638,2035644,1000026,5017864,2000012,org.intermine.model.bio.Exon
,,exon.58302,69,2035647,,,,2035638,2035646,1000026,5017865,2000012,org.intermine.model.bio.Exon
,,exon.58303,85,2035649,,,,2035638,2035648,1000026,5017866,2000012,org.intermine.model.bio.Exon
,,exon.58305,50,2035651,,,,2035638,2035650,1000026,5017867,2000012,org.intermine.model.bio.Exon
,,exon.58306,114,2035653,,,,2035638,2035652,1000026,5017868,2000012,org.intermine.model.bio.Exon
,,exon.58304,33,2035655,,,,2035638,2035654,1000026,5017869,2000012,org.intermine.model.bio.Exon
gene.58397,,PFE0395c,1050,2035657,,,,2035638,2035656,1000026,5017870,1000081,org.intermine.model.bio.Gene
,,exon.58399,1050,2035662,,,,2035638,2035661,1000026,5017871,2000012,org.intermine.model.bio.Exon
gene.58437,,PFE0440w,9405,2035664,,,,2035638,2035663,1000026,5017872,1000081,org.intermine.model.bio.Gene
,,exon.58439,9405,2035669,,,,2035638,2035668,1000026,5017873,2000012,org.intermine.model.bio.Exon
gene.58484,,PFE0485w,5041,2035671,,,,2035638,2035670,1000026,5017874,1000081,org.intermine.model.bio.Gene
,,PFC0200W,,1000383,,,,,,1000026,,1000081,org.intermine.model.bio.Gene
,,MAL3P2.9,,1000384,,,,,,1000026,,1000081,org.intermine.model.bio.Gene
,,exon.58487,4176,2035676,,,,2035638,2035675,1000026,5017875,2000012,org.intermine.model.bio.Exon
,,exon.58486,316,2035678,,,,2035638,2035677,1000026,5017876,2000012,org.intermine.model.bio.Exon
,,exon.58489,89,2035680,,,,2035638,2035679,1000026,5017877,2000012,org.intermine.model.bio.Exon
,,exon.58488,99,2035682,,,,2035638,2035681,1000026,5017878,2000012,org.intermine.model.bio.Exon
