secondaryidentifier,uniprotaccession,uniprotname,length,ecnumber,primaryaccession,molecularweight,md5checksum,symbol,primaryidentifier,id,name,isfragment,isuniprotcanonical,organismid,canonicalproteinid,sequenceid,class
P27362,P27362,PGK_PLAF7,416,,P27362,45427,130e9424ec0da5f83185577488a3939d,,PGK_PLAF7,1000028,Phosphoglycerate kinase,f,t,1000026,,1000024,org.intermine.model.bio.Protein
O77323,O77323,TCPH_PLAF7,539,,O77323,59577,efd23273dbfc82b28ceba9b6f00cfeb0,,TCPH_PLAF7,1000091,T-complex protein 1 subunit eta,f,t,1000026,,1000088,org.intermine.model.bio.Protein
Q7KQL8,Q7KQL8,THIO_PLAF7,104,,Q7KQL8,11716,f763f8f05c12de9d68bba1eb7ead7750,,THIO_PLAF7,1000110,Thioredoxin,f,t,1000026,,1000107,org.intermine.model.bio.Protein
Q7KQM2,Q7KQM2,TPPC5_PLAF7,184,,Q7KQM2,21512,c51687ca3ea110df11e5c64339ad69c9,,TPPC5_PLAF7,1000139,Trafficking protein particle complex subunit 5,f,t,1000026,,1000136,org.intermine.model.bio.Protein
Q8I4X0,Q8I4X0,ACT1_PLAF7,376,,Q8I4X0,41871,16eccd19058196d8d871c6ea83633143,,ACT1_PLAF7,1000150,Actin-1,f,t,1000026,,1000147,org.intermine.model.bio.Protein
Q76NM1,Q76NM1,ERD2_PLAF7,221,,Q76NM1,26447,ad4f44ef39c8d349bca3e5e648c183c8,,ERD2_PLAF7,1000164,ER lumen protein retaining receptor,f,t,1000026,,1000161,org.intermine.model.bio.Protein
P50498,P50498,MSA2_PLAF7,272,,P50498,27957,8ccd400c02ba0162033520ee954522d7,,MSA2_PLAF7,1000206,Merozoite surface antigen 2,f,t,1000026,,1000203,org.intermine.model.bio.Protein
Q8IDR3,Q8IDR3,MYOA_PLAF7,818,,Q8IDR3,92277,99a50e785066148e2f40971e5849ef34,,MYOA_PLAF7,1000230,Myosin-A,f,t,1000026,,1000227,org.intermine.model.bio.Protein
O96269,O96269,RS30_PLAF7,58,,O96269,6488,427f9ec0d5bd20e69f70d23bbe9addda,,RS30_PLAF7,1000240,40S ribosomal protein S30,f,t,1000026,,1000237,org.intermine.model.bio.Protein
Q8ILW6,Q8ILW6,NMT_PLAF7,410,,Q8ILW6,47970,de0b1ee1e1415e6db8b1ffe48aeb8541,,NMT_PLAF7,1000249,Glycylpeptide N-tetradecanoyltransferase,f,t,1000026,,1000246,org.intermine.model.bio.Protein
Q6LFH8,Q6LFH8,OAT_PLAF7,414,,Q6LFH8,46055,57c41dc50dc04379601de72fb412a479,,OAT_PLAF7,1000265,Ornithine aminotransferase,f,t,1000026,,1000262,org.intermine.model.bio.Protein
Q8ILW9,Q8ILW9,ACT2_PLAF7,376,,Q8ILW9,42606,182dfcbc1c628aab5716a3ba29f3ce7c,,ACT2_PLAF7,1000277,Actin-2,f,t,1000026,,1000274,org.intermine.model.bio.Protein
Q8ILQ7,Q8ILQ7,GST_PLAF7,211,,Q8ILQ7,24789,a6aecec3c2122f61f1e7fcf74f27880e,,GST_PLAF7,1000288,Glutathione S-transferase,f,t,1000026,,1000285,org.intermine.model.bio.Protein
Q6LFD5,Q6LFD5,RK18_PLAF7,213,,Q6LFD5,24709,0c40a32972c3b58b63b03fa4534aa358,,RK18_PLAF7,1000298,"Putative 50S ribosomal protein L18, apicoplast",f,t,1000026,,1000295,org.intermine.model.bio.Protein
P50250,P50250,SAHH_PLAF7,479,,P50250,53839,094a2d2b6dfbe47d0d380ae4c22968ee,,SAHH_PLAF7,1000314,Adenosylhomocysteinase,f,t,1000026,,1000311,org.intermine.model.bio.Protein
O97231,O97231,RL44_PLAF7,104,,O97231,12157,92d817298d19d25c139709a27e4e04aa,,RL44_PLAF7,1000381,60S ribosomal protein L44,f,t,1000026,,1000378,org.intermine.model.bio.Protein
Q8IAY6,Q8IAY6,SODF_PLAF7,198,,Q8IAY6,22734,33c53bb264f0283fc79553fb032303c3,,SODF_PLAF7,1000399,Superoxide dismutase [Fe],f,t,1000026,,1000396,org.intermine.model.bio.Protein
Q8ILC1,Q8ILC1,STI1L_PLAF7,564,,Q8ILC1,66057,e2de03408b64c668e8f8dbb6d334090a,,STI1L_PLAF7,1000433,STI1-like protein,f,t,1000026,,1000430,org.intermine.model.bio.Protein
Q9TY95,Q9TY95,SERA_PLAF7,997,,Q9TY95,111768,97b826fd29d4c0ca434f444025a67c70,,SERA_PLAF7,1000445,Serine-repeat antigen protein,f,t,1000026,,1000442,org.intermine.model.bio.Protein
Q7KQM0,Q7KQM0,TPIS_PLAF7,248,,Q7KQM0,27935,61d54ae0467fcfe983828042e77a6786,,TPIS_PLAF7,1000497,Triosephosphate isomerase,f,t,1000026,,1000494,org.intermine.model.bio.Protein
Q7KQM4,Q7KQM4,PLM1_PLAF7,452,,Q7KQM4,51461,deb7b4057d26922a1e4d103d1b9f3f63,,PLM1_PLAF7,1000515,Plasmepsin-1,f,t,1000026,,1000512,org.intermine.model.bio.Protein
O96184,O96184,RL37A_PLAF7,96,,O96184,10799,37e474b9c312d3f2c3965a9e5959812f,,RL37A_PLAF7,1000535,60S ribosomal protein L37a,f,t,1000026,,1000532,org.intermine.model.bio.Protein
P62344,P62344,CDPK1_PLAF7,524,,P62344,60800,cd9f151f8e30e534d4064f4d850ebfcb,,CDPK1_PLAF7,1000551,Calcium-dependent protein kinase 1,f,t,1000026,,1000548,org.intermine.model.bio.Protein
Q8IER7,Q8IER7,RPB11_PLAF7,126,,Q8IER7,14125,61804fc5e80a6686f1f5ca2184313abb,,RPB11_PLAF7,1000566,Probable DNA-directed RNA polymerase II subunit RPB11,f,t,1000026,,1000563,org.intermine.model.bio.Protein
Q7KQL5,Q7KQL5,TBB_PLAF7,445,,Q7KQL5,49751,95caafd6cf6d8a45f4788310f4f13a4e,,TBB_PLAF7,1000579,Tubulin beta chain,f,t,1000026,,1000576,org.intermine.model.bio.Protein
Q8I5D2,Q8I5D2,ABRA_PLAF7,743,,Q8I5D2,86623,7798d750e4690e68847752975df822fa,,ABRA_PLAF7,1000588,101 kDa malaria antigen,f,t,1000026,,1000585,org.intermine.model.bio.Protein
Q8I4T1,Q8I4T1,VPS26_PLAF7,297,,Q8I4T1,34509,67ffbe9b574ccad7b1d28df8b54e7e76,,VPS26_PLAF7,1000603,Vacuolar protein sorting-associated protein 26,f,t,1000026,,1000600,org.intermine.model.bio.Protein
P62368,P62368,ISPF_PLAF7,240,,P62368,27161,1523d11b57afefa5c15da4e7e4b6beb8,,ISPF_PLAF7,1000615,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",f,t,1000026,,1000612,org.intermine.model.bio.Protein
O97249,O97249,RS12_PLAF7,141,,O97249,15396,fd9cd9fd3aa845fe64c55d5d7a6adcdc,,RS12_PLAF7,1000626,40S ribosomal protein S12,f,t,1000026,,1000623,org.intermine.model.bio.Protein
Q8ILC2,Q8ILC2,TGTL_PLAF7,407,,Q8ILC2,47829,77d789101a3e13299c61fcd022109217,,TGTL_PLAF7,1000635,Queuine tRNA-ribosyltransferase-like protein,f,t,1000026,,1000632,org.intermine.model.bio.Protein
P61075,P61075,CDC2H_PLAF7,288,,P61075,32996,cfc0f17e3397427256a71fb88b7c373e,,CDC2H_PLAF7,1000646,Cell division control protein 2 homolog,f,t,1000026,,1000643,org.intermine.model.bio.Protein
Q9NJU9,Q9NJU9,CDPK3_PLAF7,562,,Q9NJU9,65288,e243a3bd584869d0153cc3810cb14694,,CDPK3_PLAF7,1000666,Calcium-dependent protein kinase 3,f,t,1000026,,1000663,org.intermine.model.bio.Protein
Q03400,Q03400,SANT_PLAF7,585,,Q03400,62947,13ce6d12168b0d7da69c72c4fc899205,,SANT_PLAF7,1000680,S-antigen protein,f,t,1000026,,1000677,org.intermine.model.bio.Protein
Q8I4V5,Q8I4V5,UTP11_PLAF7,212,,Q8I4V5,25668,9f6c0a508c6a78d79b827bd598ebb0a3,,UTP11_PLAF7,1000692,Probable U3 small nucleolar RNA-associated protein 11,f,t,1000026,,1000689,org.intermine.model.bio.Protein
Q8ICR0,Q8ICR0,CDPK2_PLAF7,509,,Q8ICR0,58465,bf4edc3d375a4e589f79b004c9492c84,,CDPK2_PLAF7,1000704,Calcium-dependent protein kinase 2,f,t,1000026,,1000701,org.intermine.model.bio.Protein
Q08210,Q08210,PYRD_PLAF7,569,,Q08210,65558,d5741e62cd4c03cd42b2ed3666ebb404,,PYRD_PLAF7,1000726,"Dihydroorotate dehydrogenase homolog, mitochondrial",f,t,1000026,,1000723,org.intermine.model.bio.Protein
Q8I3Z5,Q8I3Z5,TCTP_PLAF7,171,,Q8I3Z5,19979,ca9fe094e4227e93f87f4090743a47c1,,TCTP_PLAF7,1000776,Translationally-controlled tumor protein homolog,f,t,1000026,,1000773,org.intermine.model.bio.Protein
P68874,P68874,S230_PLAF7,3135,,P68874,363218,961d7b9fdcf3da617c97bd9d19119404,,S230_PLAF7,1000784,Transmission-blocking target antigen S230,f,t,1000026,,1000781,org.intermine.model.bio.Protein
Q7KQL9,Q7KQL9,ALF_PLAF7,369,,Q7KQL9,40105,ff7e931550b642dbb2e0400ae1eef204,,ALF_PLAF7,1000798,Fructose-bisphosphate aldolase,f,t,1000026,,1000795,org.intermine.model.bio.Protein
Q8I3H7,Q8I3H7,TIP_PLAF7,719,,Q8I3H7,82905,d431d4a351a44da423dbd66497da0c33,,TIP_PLAF7,1000812,T-cell immunomodulatory protein homolog,f,t,1000026,,1000809,org.intermine.model.bio.Protein
P61076,P61076,TRXR_PLAF7,541,,P61076,59686,ff681ef13c18741bf43304e1117f478d,,TRXR_PLAF7,1000830,Thioredoxin reductase,f,t,1000026,,1000827,org.intermine.model.bio.Protein
Q8IJN7,Q8IJN7,ENO_PLAF7,446,,Q8IJN7,48678,a3b020fbedb2c8aa8b17ff7bf126c9f4,,ENO_PLAF7,1000842,Enolase,f,t,1000026,,1000839,org.intermine.model.bio.Protein
Q8I6U8,Q8I6U8,GBP_PLAF7,824,,Q8I6U8,95844,04679ece53ef9065e69659d36f8f0103,,GBP_PLAF7,1000862,Glycophorin-binding protein,f,t,1000026,,1000859,org.intermine.model.bio.Protein
O15770,O15770,GSHR_PLAF7,500,,O15770,56420,48d533fdd662240db425f19195d211a0,,GSHR_PLAF7,1000872,Glutathione reductase,f,t,1000026,,1000869,org.intermine.model.bio.Protein
Q8ILI6,Q8ILI6,AN32_PLAF7,281,,Q8ILI6,33006,c1cb5ef56534cec6beddf23955390548,,AN32_PLAF7,1000884,Acidic leucine-rich nuclear phosphoprotein 32-related protein,f,t,1000026,,1000881,org.intermine.model.bio.Protein
Q7KQM1,Q7KQM1,PRI1_PLAF7,452,,Q7KQM1,53489,b0d4cb124bdc568c3fbab6a817672f2b,,PRI1_PLAF7,1000896,DNA primase small subunit,f,t,1000026,,1000893,org.intermine.model.bio.Protein
P62203,P62203,CALM_PLAF7,149,,P62203,16931,edf59e58c2fa264d3c064ccb7c0b9546,,CALM_PLAF7,1000911,Calmodulin,f,t,1000026,,1000908,org.intermine.model.bio.Protein
Q8IIJ9,Q8IIJ9,CATC_PLAF7,700,,Q8IIJ9,80412,18b74162a995717c35dddda4feed79d7,,CATC_PLAF7,1000926,Probable cathepsin C,f,t,1000026,,1000923,org.intermine.model.bio.Protein
O77392,O77392,IPYR_PLAF7,380,,O77392,45232,3f1ca7f5138aeb0ef6e1a6005a04617c,,IPYR_PLAF7,1000952,Probable inorganic pyrophosphatase,f,t,1000026,,1000949,org.intermine.model.bio.Protein
Q8IHZ9,Q8IHZ9,KC1_PLAF7,323,,Q8IHZ9,37631,055041786c1da2c64167008601b3a943,,KC1_PLAF7,1000968,Casein kinase I,f,t,1000026,,1000965,org.intermine.model.bio.Protein
P46468,P46468,CDAT_PLAF7,1229,,P46468,142080,8ec701aa544087b10dba96229a707446,,CDAT_PLAF7,1000978,Putative cell division cycle ATPase,f,t,1000026,,1000975,org.intermine.model.bio.Protein
Q8IBS5,Q8IBS5,CDPK4_PLAF7,528,,Q8IBS5,60780,0738ee2c80ce7f61b82bb79f40143c5e,,CDPK4_PLAF7,1000991,Calcium-dependent protein kinase 4,f,t,1000026,,1000988,org.intermine.model.bio.Protein
P61074,P61074,PCNA_PLAF7,274,,P61074,30587,59156aba85e4d59f8be69fa6350b8e81,,PCNA_PLAF7,1001004,Proliferating cell nuclear antigen,f,t,1000026,,1001001,org.intermine.model.bio.Protein
Q76NM6,Q76NM6,VATA_PLAF7,611,,Q76NM6,68576,07eec1bc0e58e31a016271780f9c8aec,,VATA_PLAF7,1001018,V-type proton ATPase catalytic subunit A,f,t,1000026,,1001015,org.intermine.model.bio.Protein
O96174,O96174,O96174_PLAF7,235,,O96174,28164,f1b5e23444ad816fe53de9b91ae13f09,,O96174_PLAF7,1001027,Putative uncharacterized protein PFB0395w,f,t,1000026,,1001025,org.intermine.model.bio.Protein
Q6LFA4,Q6LFA4,Q6LFA4_PLAF7,625,,Q6LFA4,73900,84ac6b66a65ad735b0784f5dee479bcd,,Q6LFA4_PLAF7,1001032,Putative uncharacterized protein,f,t,1000026,,1001029,org.intermine.model.bio.Protein
Q8I256,Q8I256,Q8I256_PLAF7,306,,Q8I256,37638,d04abbc969771017aabf5fcd0ca53105,,Q8I256_PLAF7,1001036,Putative uncharacterized protein PFA0425c,f,t,1000026,,1001034,org.intermine.model.bio.Protein
Q8I2Y9,Q8I2Y9,Q8I2Y9_PLAF7,276,,Q8I2Y9,32508,8d094587d3e0d155bd3dfd5adb0abbf7,,Q8I2Y9_PLAF7,1001041,Putative uncharacterized protein PFI0800c,f,t,1000026,,1001039,org.intermine.model.bio.Protein
Q8I3S2,Q8I3S2,Q8I3S2_PLAF7,118,,Q8I3S2,14437,fa96cef1d28156f53040d9ab1916e862,,Q8I3S2_PLAF7,1001045,Putative uncharacterized protein PFE0940c,f,t,1000026,,1001043,org.intermine.model.bio.Protein
Q8I555,Q8I555,Q8I555_PLAF7,509,,Q8I555,62419,d3f8c0b51afc6fc5309ca572fd88a970,,Q8I555_PLAF7,1001059,Putative uncharacterized protein,f,t,1000026,,1001047,org.intermine.model.bio.Protein
