identifier,id,subjectid,sourceid,class
XP_001352096.1,1000083,1000028,1000080,org.intermine.model.bio.CrossReference
XP_001351157.1,1000096,1000091,1000080,org.intermine.model.bio.CrossReference
XP_001348719.1,1000128,1000110,1000080,org.intermine.model.bio.CrossReference
XP_001348532.1,1000142,1000139,1000080,org.intermine.model.bio.CrossReference
XP_001350847.1,1000153,1000150,1000080,org.intermine.model.bio.CrossReference
XP_001350248.1,1000185,1000164,1000080,org.intermine.model.bio.CrossReference
XP_001349578.1,1000220,1000206,1000080,org.intermine.model.bio.CrossReference
XP_001350147.1,1000233,1000230,1000080,org.intermine.model.bio.CrossReference
XP_001349693.1,1000242,1000240,1000080,org.intermine.model.bio.CrossReference
XP_001348300.1,1000254,1000249,1000080,org.intermine.model.bio.CrossReference
XP_966078.1,1000270,1000265,1000080,org.intermine.model.bio.CrossReference
XP_001348297.1,1000280,1000277,1000080,org.intermine.model.bio.CrossReference
XP_001348360.1,1000290,1000288,1000080,org.intermine.model.bio.CrossReference
XP_966121.1,1000301,1000298,1000080,org.intermine.model.bio.CrossReference
XP_001351767.1,1000375,1000314,1000080,org.intermine.model.bio.CrossReference
XP_001351120.1,1000385,1000381,1000080,org.intermine.model.bio.CrossReference
XP_001349375.1,1000423,1000399,1000080,org.intermine.model.bio.CrossReference
XP_001348498.1,1000435,1000433,1000080,org.intermine.model.bio.CrossReference
XP_001349586.1,1000484,1000445,1000080,org.intermine.model.bio.CrossReference
XP_001348552.1,1000505,1000497,1000080,org.intermine.model.bio.CrossReference
XP_001348249.1,1000527,1000515,1000080,org.intermine.model.bio.CrossReference
XP_001349609.1,1000537,1000535,1000080,org.intermine.model.bio.CrossReference
XP_001349680.1,1000558,1000551,1000080,org.intermine.model.bio.CrossReference
XP_001349775.1,1000570,1000566,1000080,org.intermine.model.bio.CrossReference
XP_001347369.1,1000582,1000579,1000080,org.intermine.model.bio.CrossReference
XP_001350683.1,1000598,1000588,1000080,org.intermine.model.bio.CrossReference
XP_001350887.1,1000606,1000603,1000080,org.intermine.model.bio.CrossReference
XP_001349603.1,1000621,1000615,1000080,org.intermine.model.bio.CrossReference
XP_001351146.1,1000629,1000626,1000080,org.intermine.model.bio.CrossReference
XP_001348496.1,1000637,1000635,1000080,org.intermine.model.bio.CrossReference
XP_001350280.1,1000654,1000646,1000080,org.intermine.model.bio.CrossReference
XP_001351174.1,1000673,1000666,1000080,org.intermine.model.bio.CrossReference
XP_001347627.1,1000686,1000680,1000080,org.intermine.model.bio.CrossReference
XP_001350863.1,1000695,1000692,1000080,org.intermine.model.bio.CrossReference
XP_966095.1,1000712,1000704,1000080,org.intermine.model.bio.CrossReference
XP_966023.1,1000771,1000726,1000080,org.intermine.model.bio.CrossReference
XP_001351667.1,1000779,1000776,1000080,org.intermine.model.bio.CrossReference
XP_001349600.1,1000790,1000784,1000080,org.intermine.model.bio.CrossReference
XP_001348599.1,1000805,1000798,1000080,org.intermine.model.bio.CrossReference
XP_001351844.1,1000823,1000812,1000080,org.intermine.model.bio.CrossReference
XP_001352109.1,1000834,1000830,1000080,org.intermine.model.bio.CrossReference
XP_001347440.1,1000856,1000842,1000080,org.intermine.model.bio.CrossReference
XP_001347444.1,1000865,1000862,1000080,org.intermine.model.bio.CrossReference
XP_001348431.1,1000887,1000884,1000080,org.intermine.model.bio.CrossReference
XP_001348540.1,1000902,1000896,1000080,org.intermine.model.bio.CrossReference
XP_001348497.1,1000916,1000911,1000080,org.intermine.model.bio.CrossReference
XP_001347845.1,1000946,1000926,1000080,org.intermine.model.bio.CrossReference
XP_001351233.1,1000961,1000952,1000080,org.intermine.model.bio.CrossReference
XP_001348047.1,1000972,1000968,1000080,org.intermine.model.bio.CrossReference
XP_001349023.1,1000981,1000978,1000080,org.intermine.model.bio.CrossReference
XP_001349078.1,1000997,1000991,1000080,org.intermine.model.bio.CrossReference
XP_001350330.1,1001008,1001004,1000080,org.intermine.model.bio.CrossReference
XP_001349847.1,1001023,1001018,1000080,org.intermine.model.bio.CrossReference
XP_001349598.1,1001028,1001027,1000080,org.intermine.model.bio.CrossReference
XP_966152.1,1001033,1001032,1000080,org.intermine.model.bio.CrossReference
XP_001351017.1,1001038,1001036,1000080,org.intermine.model.bio.CrossReference
XP_001352035.1,1001042,1001041,1000080,org.intermine.model.bio.CrossReference
XP_001351745.1,1001046,1001045,1000080,org.intermine.model.bio.CrossReference
XP_001350762.1,1001060,1001059,1000080,org.intermine.model.bio.CrossReference
XP_001350462.1,1001065,1001064,1000080,org.intermine.model.bio.CrossReference
XP_001349259.1,1001069,1001068,1000080,org.intermine.model.bio.CrossReference
XP_001348978.1,1001073,1001072,1000080,org.intermine.model.bio.CrossReference
XP_001350217.1,1001077,1001076,1000080,org.intermine.model.bio.CrossReference
XP_001349979.1,1001081,1001080,1000080,org.intermine.model.bio.CrossReference
XP_001347915.1,1001092,1001091,1000080,org.intermine.model.bio.CrossReference
XP_001347659.1,1001097,1001096,1000080,org.intermine.model.bio.CrossReference
XP_001347422.1,1001111,1001110,1000080,org.intermine.model.bio.CrossReference
XP_001348751.1,1001116,1001115,1000080,org.intermine.model.bio.CrossReference
XP_001348527.1,1001121,1001120,1000080,org.intermine.model.bio.CrossReference
XP_001348243.1,1001126,1001125,1000080,org.intermine.model.bio.CrossReference
XP_001351211.1,1001130,1001129,1000080,org.intermine.model.bio.CrossReference
XP_001351221.1,1001134,1001133,1000080,org.intermine.model.bio.CrossReference
XP_966148.1,1001139,1001138,1000080,org.intermine.model.bio.CrossReference
XP_001350502.1,1001149,1001148,1000080,org.intermine.model.bio.CrossReference
XP_001352207.1,1001154,1001153,1000080,org.intermine.model.bio.CrossReference
XP_001351979.1,1001158,1001157,1000080,org.intermine.model.bio.CrossReference
XP_001351753.1,1001162,1001161,1000080,org.intermine.model.bio.CrossReference
XP_001350738.1,1001173,1001172,1000080,org.intermine.model.bio.CrossReference
XP_001350509.1,1001187,1001186,1000080,org.intermine.model.bio.CrossReference
XP_001349371.1,1001191,1001190,1000080,org.intermine.model.bio.CrossReference
XP_001349054.1,1001195,1001194,1000080,org.intermine.model.bio.CrossReference
XP_001350262.1,1001199,1001198,1000080,org.intermine.model.bio.CrossReference
XP_001350014.1,1001203,1001202,1000080,org.intermine.model.bio.CrossReference
XP_001349786.1,1001207,1001206,1000080,org.intermine.model.bio.CrossReference
XP_001348079.1,1001212,1001211,1000080,org.intermine.model.bio.CrossReference
XP_001347863.1,1001233,1001232,1000080,org.intermine.model.bio.CrossReference
XP_001347512.1,1001238,1001237,1000080,org.intermine.model.bio.CrossReference
XP_001348917.1,1001243,1001242,1000080,org.intermine.model.bio.CrossReference
XP_001348681.1,1001248,1001247,1000080,org.intermine.model.bio.CrossReference
XP_001348390.1,1001256,1001255,1000080,org.intermine.model.bio.CrossReference
XP_001351098.1,1001263,1001260,1000080,org.intermine.model.bio.CrossReference
XP_001349545.1,1001267,1001266,1000080,org.intermine.model.bio.CrossReference
XP_966039.1,1001272,1001271,1000080,org.intermine.model.bio.CrossReference
XP_001351327.1,1001277,1001275,1000080,org.intermine.model.bio.CrossReference
XP_001352156.1,1001281,1001280,1000080,org.intermine.model.bio.CrossReference
XP_001351846.1,1001286,1001285,1000080,org.intermine.model.bio.CrossReference
XP_001351593.1,1001290,1001289,1000080,org.intermine.model.bio.CrossReference
XP_001350800.1,1001295,1001294,1000080,org.intermine.model.bio.CrossReference
XP_001350593.1,1001307,1001306,1000080,org.intermine.model.bio.CrossReference
XP_001349451.1,1001312,1001311,1000080,org.intermine.model.bio.CrossReference
XP_001349184.1,1001316,1001315,1000080,org.intermine.model.bio.CrossReference
XP_001350397.1,1001321,1001320,1000080,org.intermine.model.bio.CrossReference
XP_001350207.1,1001325,1001324,1000080,org.intermine.model.bio.CrossReference
XP_001349875.1,1001329,1001328,1000080,org.intermine.model.bio.CrossReference
XP_001347905.1,1001334,1001333,1000080,org.intermine.model.bio.CrossReference
XP_001347685.1,1001339,1001338,1000080,org.intermine.model.bio.CrossReference
XP_001347414.1,1001344,1001343,1000080,org.intermine.model.bio.CrossReference
XP_001348852.1,1001349,1001348,1000080,org.intermine.model.bio.CrossReference
XP_001348633.1,1001354,1001353,1000080,org.intermine.model.bio.CrossReference
XP_001348399.1,1001359,1001358,1000080,org.intermine.model.bio.CrossReference
XP_001349526.1,1001363,1001362,1000080,org.intermine.model.bio.CrossReference
XP_001349736.1,1001367,1001366,1000080,org.intermine.model.bio.CrossReference
XP_001351144.1,1001373,1001371,1000080,org.intermine.model.bio.CrossReference
XP_966281.1,1001378,1001377,1000080,org.intermine.model.bio.CrossReference
XP_001351456.1,1001382,1001381,1000080,org.intermine.model.bio.CrossReference
XP_001352215.1,1001387,1001386,1000080,org.intermine.model.bio.CrossReference
XP_001352024.1,1001391,1001390,1000080,org.intermine.model.bio.CrossReference
XP_001351796.1,1001395,1001394,1000080,org.intermine.model.bio.CrossReference
XP_001350736.1,1001400,1001399,1000080,org.intermine.model.bio.CrossReference
XP_001349712.1,1001404,1001403,1000080,org.intermine.model.bio.CrossReference
XP_001349377.1,1001408,1001407,1000080,org.intermine.model.bio.CrossReference
XP_001349125.1,1001412,1001411,1000080,org.intermine.model.bio.CrossReference
XP_001350388.1,1001417,1001416,1000080,org.intermine.model.bio.CrossReference
XP_001350034.1,1001421,1001420,1000080,org.intermine.model.bio.CrossReference
XP_001349785.1,1001425,1001424,1000080,org.intermine.model.bio.CrossReference
XP_001347982.1,1001436,1001435,1000080,org.intermine.model.bio.CrossReference
XP_001347737.1,1001455,1001454,1000080,org.intermine.model.bio.CrossReference
XP_001347498.1,1001466,1001465,1000080,org.intermine.model.bio.CrossReference
XP_001348939.1,1001471,1001470,1000080,org.intermine.model.bio.CrossReference
XP_001348612.1,1001476,1001475,1000080,org.intermine.model.bio.CrossReference
XP_001348422.1,1001487,1001486,1000080,org.intermine.model.bio.CrossReference
XP_001351390.1,1001491,1001490,1000080,org.intermine.model.bio.CrossReference
XP_966098.1,1001508,1001507,1000080,org.intermine.model.bio.CrossReference
XP_001351021.1,1001513,1001511,1000080,org.intermine.model.bio.CrossReference
XP_001352084.1,1001517,1001516,1000080,org.intermine.model.bio.CrossReference
XP_001351888.1,1001522,1001520,1000080,org.intermine.model.bio.CrossReference
XP_001351626.1,1001526,1001525,1000080,org.intermine.model.bio.CrossReference
XP_001350881.1,1001531,1001530,1000080,org.intermine.model.bio.CrossReference
XP_001350687.1,1001536,1001535,1000080,org.intermine.model.bio.CrossReference
XP_001350436.1,1001541,1001540,1000080,org.intermine.model.bio.CrossReference
XP_001349376.1,1001545,1001544,1000080,org.intermine.model.bio.CrossReference
XP_001349118.1,1001550,1001549,1000080,org.intermine.model.bio.CrossReference
XP_001350283.1,1001557,1001556,1000080,org.intermine.model.bio.CrossReference
XP_001350043.1,1001561,1001560,1000080,org.intermine.model.bio.CrossReference
XP_001349849.1,1001565,1001564,1000080,org.intermine.model.bio.CrossReference
XP_001348067.1,1001572,1001571,1000080,org.intermine.model.bio.CrossReference
XP_001347834.1,1001577,1001576,1000080,org.intermine.model.bio.CrossReference
XP_001347601.1,1001582,1001581,1000080,org.intermine.model.bio.CrossReference
XP_001347340.1,1001587,1001586,1000080,org.intermine.model.bio.CrossReference
XP_001348791.1,1001592,1001591,1000080,org.intermine.model.bio.CrossReference
XP_001348530.1,1001597,1001596,1000080,org.intermine.model.bio.CrossReference
XP_001348296.1,1001608,1001607,1000080,org.intermine.model.bio.CrossReference
XP_001349626.1,1001612,1001611,1000080,org.intermine.model.bio.CrossReference
XP_001351127.1,1001617,1001615,1000080,org.intermine.model.bio.CrossReference
XP_966134.1,1001640,1001639,1000080,org.intermine.model.bio.CrossReference
XP_001351481.1,1001644,1001643,1000080,org.intermine.model.bio.CrossReference
XP_001352224.1,1001648,1001647,1000080,org.intermine.model.bio.CrossReference
XP_001351968.1,1001652,1001651,1000080,org.intermine.model.bio.CrossReference
XP_001351790.1,1001656,1001655,1000080,org.intermine.model.bio.CrossReference
XP_001351567.1,1001661,1001659,1000080,org.intermine.model.bio.CrossReference
XP_001350805.1,1001680,1001679,1000080,org.intermine.model.bio.CrossReference
XP_001350539.1,1001685,1001684,1000080,org.intermine.model.bio.CrossReference
XP_001349436.1,1001690,1001688,1000080,org.intermine.model.bio.CrossReference
XP_001349210.1,1001694,1001693,1000080,org.intermine.model.bio.CrossReference
XP_001348956.1,1001698,1001697,1000080,org.intermine.model.bio.CrossReference
XP_001350167.1,1001702,1001701,1000080,org.intermine.model.bio.CrossReference
XP_001349991.1,1001708,1001707,1000080,org.intermine.model.bio.CrossReference
XP_001348074.1,1001713,1001712,1000080,org.intermine.model.bio.CrossReference
XP_001347810.1,1001724,1001723,1000080,org.intermine.model.bio.CrossReference
XP_001347565.1,1001729,1001728,1000080,org.intermine.model.bio.CrossReference
XP_001347378.1,1001736,1001735,1000080,org.intermine.model.bio.CrossReference
XP_001348682.1,1001752,1001751,1000080,org.intermine.model.bio.CrossReference
XP_001348426.1,1001757,1001756,1000080,org.intermine.model.bio.CrossReference
XP_001348255.1,1001762,1001761,1000080,org.intermine.model.bio.CrossReference
XP_001351285.1,1001767,1001765,1000080,org.intermine.model.bio.CrossReference
XP_966182.1,1001772,1001771,1000080,org.intermine.model.bio.CrossReference
XP_001351034.1,1001778,1001776,1000080,org.intermine.model.bio.CrossReference
XP_001352003.1,1001782,1001781,1000080,org.intermine.model.bio.CrossReference
XP_001351718.1,1001787,1001786,1000080,org.intermine.model.bio.CrossReference
XP_001350578.1,1001800,1001799,1000080,org.intermine.model.bio.CrossReference
XP_001349482.1,1001804,1001803,1000080,org.intermine.model.bio.CrossReference
XP_001349261.1,1001809,1001808,1000080,org.intermine.model.bio.CrossReference
XP_001349114.1,1001813,1001812,1000080,org.intermine.model.bio.CrossReference
XP_001350341.1,1001817,1001816,1000080,org.intermine.model.bio.CrossReference
