secondaryidentifier,symbol,briefdescription,primaryidentifier,length,id,name,scoretype,score,description,chromosomeid,chromosomelocationid,organismid,downstreamintergenicregionid,upstreamintergenicregionid,sequenceid,sequenceontologytermid,class
gene.65862,PGK,,PFI1105w,1251,1000082,,,,,2048348,2051080,1000026,,,5000000,1000081,org.intermine.model.bio.Gene
gene.65923,TR,,PFI1170c,1626,1000832,,,,,2048348,2050102,1000026,,,5000001,1000081,org.intermine.model.bio.Gene
,,,MAL3P3.6,,1000093,,,,,,,1000026,,,,1000081,org.intermine.model.bio.Gene
gene.64936,,,PFI0200c,4810,2048350,,,,,2048348,2048349,1000026,,,5000002,1000081,org.intermine.model.bio.Gene
gene.64960,,,PFI0215c,558,2048365,,,,,2048348,2048364,1000026,,,5000008,1000081,org.intermine.model.bio.Gene
gene.64969,,,PFI0225w,5469,2048372,,,,,2048348,2048371,1000026,,,5000010,1000081,org.intermine.model.bio.Gene
gene.64982,,,PFI0240c,7813,2048381,,,,,2048348,2048380,1000026,,,5000013,1000081,org.intermine.model.bio.Gene
gene.64774,,,PFI0055c,1212,2048390,,,,,2048348,2048389,1000026,,,5000016,1000081,org.intermine.model.bio.Gene
gene.65077,,,PFI0335w,1696,2048399,,,,,2048348,2048398,1000026,,,5000019,1000081,org.intermine.model.bio.Gene
gene.65093,,,PFI0355c,2769,2048408,,,,,2048348,2048407,1000026,,,5000022,1000081,org.intermine.model.bio.Gene
gene.65110,,,PFI0375w,576,2048415,,,,,2048348,2048414,1000026,,,5000024,1000081,org.intermine.model.bio.Gene
gene.65125,,,PFI0390c,1824,2048422,,,,,2048348,2048421,1000026,,,5000026,1000081,org.intermine.model.bio.Gene
gene.65134,,,PFI0395w,4962,2048437,,,,,2048348,2048436,1000026,,,5000032,1000081,org.intermine.model.bio.Gene
gene.65551,,,PFI0805w,7560,2048452,,,,,2048348,2048451,1000026,,,5000038,1000081,org.intermine.model.bio.Gene
gene.65555,,,PFI0810c,1910,2048461,,,,,2048348,2048460,1000026,,,5000041,1000081,org.intermine.model.bio.Gene
gene.65575,,,PFI0825w,999,2048484,,,,,2048348,2048483,1000026,,,5000051,1000081,org.intermine.model.bio.Gene
,,,PFC0200W,,1000383,,,,,,,1000026,,,,1000081,org.intermine.model.bio.Gene
,,,MAL3P2.9,,1000384,,,,,,,1000026,,,,1000081,org.intermine.model.bio.Gene
gene.66352,,,PFI1570c,1713,2048491,,,,,2048348,2048490,1000026,,,5000053,1000081,org.intermine.model.bio.Gene
gene.65611,,,PFI0875w,2292,2048498,,,,,2048348,2048497,1000026,,,5000055,1000081,org.intermine.model.bio.Gene
gene.66006,,,PFI1250w,861,2048507,,,,,2048348,2048506,1000026,,,5000058,1000081,org.intermine.model.bio.Gene
gene.66029,,,PFI1275w,4253,2048522,,,,,2048348,2048521,1000026,,,5000064,1000081,org.intermine.model.bio.Gene
gene.66409,,,PFI1620c,4539,2048535,,,,,2048348,2048534,1000026,,,5000069,1000081,org.intermine.model.bio.Gene
gene.66419,,,PFI1635w,2208,2048542,,,,,2048348,2048541,1000026,,,5000071,1000081,org.intermine.model.bio.Gene
gene.66438,,,PFI1660w,438,2048549,,,,,2048348,2048548,1000026,,,5000073,1000081,org.intermine.model.bio.Gene
gene.65192,,,PFI0425w,1974,2048556,,,,,2048348,2048555,1000026,,,5000075,1000081,org.intermine.model.bio.Gene
gene.65213,,,PFI0445c,1688,2048565,,,,,2048348,2048564,1000026,,,5000078,1000081,org.intermine.model.bio.Gene
gene.65673,,,PFI0930c,1308,2048574,,,,,2048348,2048573,1000026,,,5000081,1000081,org.intermine.model.bio.Gene
gene.66062,,,PFI1300c,5769,2048585,,,,,2048348,2048584,1000026,,,5000085,1000081,org.intermine.model.bio.Gene
gene.65233,,,PFI0465c,2136,2048592,,,,,2048348,2048591,1000026,,,5000087,1000081,org.intermine.model.bio.Gene
,,,PFC0295C,,1000627,,,,,,,1000026,,,,1000081,org.intermine.model.bio.Gene
,,,MAL3P2.28,,1000628,,,,,,,1000026,,,,1000081,org.intermine.model.bio.Gene
gene.65241,,,PFI0475w,542,2048603,,,,,2048348,2048602,1000026,,,5000091,1000081,org.intermine.model.bio.Gene
